Employee_ID,Employee_Name,NRIC,DOB,DOJ,Department,Modules_Taught,staff_entities,department_entities,module_entities,relationships
NUSPF12536,Deborah Hayes,XXXXX200A,1994-05-08T00:00:00Z,2000-03-01T00:00:00Z,Chinese Studies,CH4243,"[('Deborah Hayes', 'Staff')]","[('Chinese Studies', 'Department')]","[('CH4243', 'Module')]","[{'from_type': 'Module', 'from_id': 'CH4243', 'to_type': 'Department', 'to_id': 'Chinese Studies', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'CH4243', 'to_type': 'Staff', 'to_id': 'Deborah Hayes', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Deborah Hayes', 'to_type': 'Department', 'to_id': 'Chinese Studies', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12537,Tiffany Cruz,XXXXX150A,1972-05-09T00:00:00Z,2001-10-26T00:00:00Z,PharmacyandPharmaceuticalScience,PR1152,"[('Tiffany Cruz', 'Staff')]","[('PharmacyandPharmaceuticalScience', 'Department')]","[('PR1152', 'Module')]","[{'from_type': 'Module', 'from_id': 'PR1152', 'to_type': 'Department', 'to_id': 'PharmacyandPharmaceuticalScience', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'PR1152', 'to_type': 'Staff', 'to_id': 'Tiffany Cruz', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Tiffany Cruz', 'to_type': 'Department', 'to_id': 'PharmacyandPharmaceuticalScience', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12538,Jody Fuller,XXXXX636A,1971-03-13T00:00:00Z,2003-09-28T00:00:00Z,Statistics and Data Science,ST4299,"[('Jody Fuller', 'Staff')]","[('Statistics and Data Science', 'Department')]","[('ST4299', 'Module')]","[{'from_type': 'Module', 'from_id': 'ST4299', 'to_type': 'Department', 'to_id': 'Statistics and Data Science', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'ST4299', 'to_type': 'Staff', 'to_id': 'Jody Fuller', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Jody Fuller', 'to_type': 'Department', 'to_id': 'Statistics and Data Science', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12539,Robert Benson,XXXXX957A,1974-11-03T00:00:00Z,2000-03-12T00:00:00Z,BIZ Dean's Office,BME5302,"[('Robert Benson', 'Staff')]","[(""BIZ Dean's Office"", 'Department')]","[('BME5302', 'Module')]","[{'from_type': 'Module', 'from_id': 'BME5302', 'to_type': 'Department', 'to_id': ""BIZ Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'BME5302', 'to_type': 'Staff', 'to_id': 'Robert Benson', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Robert Benson', 'to_type': 'Department', 'to_id': ""BIZ Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12540,Sharon Arnold,XXXXX966A,1972-12-26T00:00:00Z,2010-01-13T00:00:00Z,FoL Dean's Office,LL6322,"[('Sharon Arnold', 'Staff')]","[(""FoL Dean's Office"", 'Department')]","[('LL6322', 'Module')]","[{'from_type': 'Module', 'from_id': 'LL6322', 'to_type': 'Department', 'to_id': ""FoL Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'LL6322', 'to_type': 'Staff', 'to_id': 'Sharon Arnold', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Sharon Arnold', 'to_type': 'Department', 'to_id': ""FoL Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12541,Bradley Brooks,XXXXX878A,1983-01-10T00:00:00Z,2014-04-13T00:00:00Z,Strategy and Policy,BSN3701B,"[('Bradley Brooks', 'Staff')]","[('Strategy and Policy', 'Department')]","[('BSN3701B', 'Module')]","[{'from_type': 'Module', 'from_id': 'BSN3701B', 'to_type': 'Department', 'to_id': 'Strategy and Policy', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'BSN3701B', 'to_type': 'Staff', 'to_id': 'Bradley Brooks', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Bradley Brooks', 'to_type': 'Department', 'to_id': 'Strategy and Policy', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12542,Michael Green,XXXXX288A,1980-10-29T00:00:00Z,2006-08-24T00:00:00Z,English,ELC5207,"[('Michael Green', 'Staff')]","[('English', 'Department')]","[('ELC5207', 'Module')]","[{'from_type': 'Module', 'from_id': 'ELC5207', 'to_type': 'Department', 'to_id': 'English', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'ELC5207', 'to_type': 'Staff', 'to_id': 'Michael Green', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Michael Green', 'to_type': 'Department', 'to_id': 'English', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12543,Sheila Lopez,XXXXX363A,1969-08-11T00:00:00Z,2001-08-04T00:00:00Z,Risk Management Institute,FE5223,"[('Sheila Lopez', 'Staff')]","[('Risk Management Institute', 'Department')]","[('FE5223', 'Module')]","[{'from_type': 'Module', 'from_id': 'FE5223', 'to_type': 'Department', 'to_id': 'Risk Management Institute', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'FE5223', 'to_type': 'Staff', 'to_id': 'Sheila Lopez', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Sheila Lopez', 'to_type': 'Department', 'to_id': 'Risk Management Institute', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12544,Kurt Mercado,XXXXX956A,1990-01-21T00:00:00Z,2005-08-30T00:00:00Z,Southeast Asian Studies,SE4212,"[('Kurt Mercado', 'Staff')]","[('Southeast Asian Studies', 'Department')]","[('SE4212', 'Module')]","[{'from_type': 'Module', 'from_id': 'SE4212', 'to_type': 'Department', 'to_id': 'Southeast Asian Studies', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'SE4212', 'to_type': 'Staff', 'to_id': 'Kurt Mercado', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Kurt Mercado', 'to_type': 'Department', 'to_id': 'Southeast Asian Studies', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12545,Kimberly Grant,XXXXX983A,1989-07-22T00:00:00Z,2009-08-01T00:00:00Z,Physics,HSI2009,"[('Kimberly Grant', 'Staff')]","[('Physics', 'Department')]","[('HSI2009', 'Module')]","[{'from_type': 'Module', 'from_id': 'HSI2009', 'to_type': 'Department', 'to_id': 'Physics', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'HSI2009', 'to_type': 'Staff', 'to_id': 'Kimberly Grant', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Kimberly Grant', 'to_type': 'Department', 'to_id': 'Physics', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12546,Cameron Lopez,XXXXX294A,1982-01-31T00:00:00Z,2014-05-09T00:00:00Z,Economics,EC6880,"[('Cameron Lopez', 'Staff')]","[('Economics', 'Department')]","[('EC6880', 'Module')]","[{'from_type': 'Module', 'from_id': 'EC6880', 'to_type': 'Department', 'to_id': 'Economics', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'EC6880', 'to_type': 'Staff', 'to_id': 'Cameron Lopez', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Cameron Lopez', 'to_type': 'Department', 'to_id': 'Economics', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12547,Ann Ramos,XXXXX465A,1980-12-30T00:00:00Z,2004-02-05T00:00:00Z,Communications and New Media,NM6660,"[('Ann Ramos', 'Staff')]","[('Communications and New Media', 'Department')]","[('NM6660', 'Module')]","[{'from_type': 'Module', 'from_id': 'NM6660', 'to_type': 'Department', 'to_id': 'Communications and New Media', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'NM6660', 'to_type': 'Staff', 'to_id': 'Ann Ramos', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Ann Ramos', 'to_type': 'Department', 'to_id': 'Communications and New Media', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12548,Colleen Lucas,XXXXX211A,1976-01-22T00:00:00Z,2012-12-10T00:00:00Z,Chemical and Biomolecular Engineering,CN5190,"[('Colleen Lucas', 'Staff')]","[('Chemical and Biomolecular Engineering', 'Department')]","[('CN5190', 'Module')]","[{'from_type': 'Module', 'from_id': 'CN5190', 'to_type': 'Department', 'to_id': 'Chemical and Biomolecular Engineering', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'CN5190', 'to_type': 'Staff', 'to_id': 'Colleen Lucas', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Colleen Lucas', 'to_type': 'Department', 'to_id': 'Chemical and Biomolecular Engineering', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12549,Ashley Cook,XXXXX492A,1976-11-27T00:00:00Z,2011-11-14T00:00:00Z,BIZ Dean's Office,BMK5102,"[('Ashley Cook', 'Staff')]","[(""BIZ Dean's Office"", 'Department')]","[('BMK5102', 'Module')]","[{'from_type': 'Module', 'from_id': 'BMK5102', 'to_type': 'Department', 'to_id': ""BIZ Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'BMK5102', 'to_type': 'Staff', 'to_id': 'Ashley Cook', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Ashley Cook', 'to_type': 'Department', 'to_id': ""BIZ Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12550,Steven Flynn,XXXXX731A,1993-01-20T00:00:00Z,2013-12-13T00:00:00Z,PharmacyandPharmaceuticalScience,PR5113,"[('Steven Flynn', 'Staff')]","[('PharmacyandPharmaceuticalScience', 'Department')]","[('PR5113', 'Module')]","[{'from_type': 'Module', 'from_id': 'PR5113', 'to_type': 'Department', 'to_id': 'PharmacyandPharmaceuticalScience', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'PR5113', 'to_type': 'Staff', 'to_id': 'Steven Flynn', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Steven Flynn', 'to_type': 'Department', 'to_id': 'PharmacyandPharmaceuticalScience', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12551,Andrew Gilbert DVM,XXXXX496A,1984-12-31T00:00:00Z,2007-10-20T00:00:00Z,Chemical and Biomolecular Engineering,CN1101A,"[('Andrew Gilbert DVM', 'Staff')]","[('Chemical and Biomolecular Engineering', 'Department')]","[('CN1101A', 'Module')]","[{'from_type': 'Module', 'from_id': 'CN1101A', 'to_type': 'Department', 'to_id': 'Chemical and Biomolecular Engineering', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'CN1101A', 'to_type': 'Staff', 'to_id': 'Andrew Gilbert DVM', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Andrew Gilbert DVM', 'to_type': 'Department', 'to_id': 'Chemical and Biomolecular Engineering', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12552,Christopher Frederick,XXXXX838A,1970-03-13T00:00:00Z,2012-06-05T00:00:00Z,SCALE Dean's Office,TIE2130,"[('Christopher Frederick', 'Staff')]","[(""SCALE Dean's Office"", 'Department')]","[('TIE2130', 'Module')]","[{'from_type': 'Module', 'from_id': 'TIE2130', 'to_type': 'Department', 'to_id': ""SCALE Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'TIE2130', 'to_type': 'Staff', 'to_id': 'Christopher Frederick', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Christopher Frederick', 'to_type': 'Department', 'to_id': ""SCALE Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12553,Jennifer Ewing,XXXXX532A,1981-12-25T00:00:00Z,2010-07-09T00:00:00Z,Communications and New Media,GEX1032,"[('Jennifer Ewing', 'Staff')]","[('Communications and New Media', 'Department')]","[('GEX1032', 'Module')]","[{'from_type': 'Module', 'from_id': 'GEX1032', 'to_type': 'Department', 'to_id': 'Communications and New Media', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'GEX1032', 'to_type': 'Staff', 'to_id': 'Jennifer Ewing', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Jennifer Ewing', 'to_type': 'Department', 'to_id': 'Communications and New Media', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12554,Jillian Coleman,XXXXX124A,1992-01-21T00:00:00Z,2008-11-09T00:00:00Z,Psychology,PL4246,"[('Jillian Coleman', 'Staff')]","[('Psychology', 'Department')]","[('PL4246', 'Module')]","[{'from_type': 'Module', 'from_id': 'PL4246', 'to_type': 'Department', 'to_id': 'Psychology', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'PL4246', 'to_type': 'Staff', 'to_id': 'Jillian Coleman', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Jillian Coleman', 'to_type': 'Department', 'to_id': 'Psychology', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12555,Angel Thompson,XXXXX767A,1983-07-06T00:00:00Z,2009-08-24T00:00:00Z,Finance,FIN3139,"[('Angel Thompson', 'Staff')]","[('Finance', 'Department')]","[('FIN3139', 'Module')]","[{'from_type': 'Module', 'from_id': 'FIN3139', 'to_type': 'Department', 'to_id': 'Finance', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'FIN3139', 'to_type': 'Staff', 'to_id': 'Angel Thompson', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Angel Thompson', 'to_type': 'Department', 'to_id': 'Finance', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12556,Dawn Nixon DDS,XXXXX246A,1985-05-20T00:00:00Z,2005-03-03T00:00:00Z,SCALE Dean's Office,TME2151,"[('Dawn Nixon DDS', 'Staff')]","[(""SCALE Dean's Office"", 'Department')]","[('TME2151', 'Module')]","[{'from_type': 'Module', 'from_id': 'TME2151', 'to_type': 'Department', 'to_id': ""SCALE Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'TME2151', 'to_type': 'Staff', 'to_id': 'Dawn Nixon DDS', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Dawn Nixon DDS', 'to_type': 'Department', 'to_id': ""SCALE Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12557,Amanda Oliver,XXXXX598A,1981-06-06T00:00:00Z,2006-07-20T00:00:00Z,College of Alice and Peter Tan,UTS2402,"[('Amanda Oliver', 'Staff')]","[('College of Alice and Peter Tan', 'Department')]","[('UTS2402', 'Module')]","[{'from_type': 'Module', 'from_id': 'UTS2402', 'to_type': 'Department', 'to_id': 'College of Alice and Peter Tan', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'UTS2402', 'to_type': 'Staff', 'to_id': 'Amanda Oliver', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Amanda Oliver', 'to_type': 'Department', 'to_id': 'College of Alice and Peter Tan', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12558,Adam Rhodes MD,XXXXX661A,1986-01-08T00:00:00Z,2009-06-04T00:00:00Z,FoL Dean's Office,LC5336,"[('Adam Rhodes MD', 'Staff')]","[(""FoL Dean's Office"", 'Department')]","[('LC5336', 'Module')]","[{'from_type': 'Module', 'from_id': 'LC5336', 'to_type': 'Department', 'to_id': ""FoL Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'LC5336', 'to_type': 'Staff', 'to_id': 'Adam Rhodes MD', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Adam Rhodes MD', 'to_type': 'Department', 'to_id': ""FoL Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12559,Daniel Osborne,XXXXX974A,1990-10-25T00:00:00Z,2004-03-11T00:00:00Z,Psychology,PL3281A,"[('Daniel Osborne', 'Staff')]","[('Psychology', 'Department')]","[('PL3281A', 'Module')]","[{'from_type': 'Module', 'from_id': 'PL3281A', 'to_type': 'Department', 'to_id': 'Psychology', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'PL3281A', 'to_type': 'Staff', 'to_id': 'Daniel Osborne', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Daniel Osborne', 'to_type': 'Department', 'to_id': 'Psychology', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12560,Nathaniel Reid,XXXXX889A,1991-10-25T00:00:00Z,2004-11-01T00:00:00Z,Mechanical Engineering,ME5422,"[('Nathaniel Reid', 'Staff')]","[('Mechanical Engineering', 'Department')]","[('ME5422', 'Module')]","[{'from_type': 'Module', 'from_id': 'ME5422', 'to_type': 'Department', 'to_id': 'Mechanical Engineering', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'ME5422', 'to_type': 'Staff', 'to_id': 'Nathaniel Reid', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Nathaniel Reid', 'to_type': 'Department', 'to_id': 'Mechanical Engineering', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12561,William Lee,XXXXX850A,1991-06-19T00:00:00Z,2009-12-02T00:00:00Z,Center for Engl Lang Comms,IS2101,"[('William Lee', 'Staff')]","[('Center for Engl Lang Comms', 'Department')]","[('IS2101', 'Module')]","[{'from_type': 'Module', 'from_id': 'IS2101', 'to_type': 'Department', 'to_id': 'Center for Engl Lang Comms', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'IS2101', 'to_type': 'Staff', 'to_id': 'William Lee', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'William Lee', 'to_type': 'Department', 'to_id': 'Center for Engl Lang Comms', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12562,Anthony Kelly,XXXXX445A,1977-09-03T00:00:00Z,2004-12-06T00:00:00Z,NUS Medicine Dean's Office,ABM5004,"[('Anthony Kelly', 'Staff')]","[(""NUS Medicine Dean's Office"", 'Department')]","[('ABM5004', 'Module')]","[{'from_type': 'Module', 'from_id': 'ABM5004', 'to_type': 'Department', 'to_id': ""NUS Medicine Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'ABM5004', 'to_type': 'Staff', 'to_id': 'Anthony Kelly', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Anthony Kelly', 'to_type': 'Department', 'to_id': ""NUS Medicine Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12563,Calvin Martinez,XXXXX930A,1989-02-24T00:00:00Z,2012-10-16T00:00:00Z,Communications and New Media,NM2104,"[('Calvin Martinez', 'Staff')]","[('Communications and New Media', 'Department')]","[('NM2104', 'Module')]","[{'from_type': 'Module', 'from_id': 'NM2104', 'to_type': 'Department', 'to_id': 'Communications and New Media', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'NM2104', 'to_type': 'Staff', 'to_id': 'Calvin Martinez', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Calvin Martinez', 'to_type': 'Department', 'to_id': 'Communications and New Media', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12564,Monica Meyers,XXXXX537A,1990-10-22T00:00:00Z,2012-11-25T00:00:00Z,FoL Dean's Office,LL5402,"[('Monica Meyers', 'Staff')]","[(""FoL Dean's Office"", 'Department')]","[('LL5402', 'Module')]","[{'from_type': 'Module', 'from_id': 'LL5402', 'to_type': 'Department', 'to_id': ""FoL Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'LL5402', 'to_type': 'Staff', 'to_id': 'Monica Meyers', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Monica Meyers', 'to_type': 'Department', 'to_id': ""FoL Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12565,Jenna Mason,XXXXX492A,1970-09-29T00:00:00Z,2013-11-03T00:00:00Z,Physiology,LSM3216,"[('Jenna Mason', 'Staff')]","[('Physiology', 'Department')]","[('LSM3216', 'Module')]","[{'from_type': 'Module', 'from_id': 'LSM3216', 'to_type': 'Department', 'to_id': 'Physiology', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'LSM3216', 'to_type': 'Staff', 'to_id': 'Jenna Mason', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Jenna Mason', 'to_type': 'Department', 'to_id': 'Physiology', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12566,Andrea Bird,XXXXX650A,1984-10-04T00:00:00Z,2012-06-12T00:00:00Z,YSTCM Dean's Office,MUA3178,"[('Andrea Bird', 'Staff')]","[(""YSTCM Dean's Office"", 'Department')]","[('MUA3178', 'Module')]","[{'from_type': 'Module', 'from_id': 'MUA3178', 'to_type': 'Department', 'to_id': ""YSTCM Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'MUA3178', 'to_type': 'Staff', 'to_id': 'Andrea Bird', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Andrea Bird', 'to_type': 'Department', 'to_id': ""YSTCM Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12567,Holly Alexander,XXXXX254A,1986-10-30T00:00:00Z,2009-03-01T00:00:00Z,YSTCM Dean's Office,MUA2108,"[('Holly Alexander', 'Staff')]","[(""YSTCM Dean's Office"", 'Department')]","[('MUA2108', 'Module')]","[{'from_type': 'Module', 'from_id': 'MUA2108', 'to_type': 'Department', 'to_id': ""YSTCM Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'MUA2108', 'to_type': 'Staff', 'to_id': 'Holly Alexander', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Holly Alexander', 'to_type': 'Department', 'to_id': ""YSTCM Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12568,Barbara Moore,XXXXX348A,1980-06-06T00:00:00Z,2009-01-19T00:00:00Z,BIZ Dean's Office,DMB1201FIN,"[('Barbara Moore', 'Staff')]","[(""BIZ Dean's Office"", 'Department')]","[('DMB1201FIN', 'Module')]","[{'from_type': 'Module', 'from_id': 'DMB1201FIN', 'to_type': 'Department', 'to_id': ""BIZ Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'DMB1201FIN', 'to_type': 'Staff', 'to_id': 'Barbara Moore', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Barbara Moore', 'to_type': 'Department', 'to_id': ""BIZ Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12569,Alexis Lin,XXXXX895A,1989-09-02T00:00:00Z,2012-04-24T00:00:00Z,Yale-NUS College,YID2216,"[('Alexis Lin', 'Staff')]","[('Yale-NUS College', 'Department')]","[('YID2216', 'Module')]","[{'from_type': 'Module', 'from_id': 'YID2216', 'to_type': 'Department', 'to_id': 'Yale-NUS College', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'YID2216', 'to_type': 'Staff', 'to_id': 'Alexis Lin', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Alexis Lin', 'to_type': 'Department', 'to_id': 'Yale-NUS College', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12570,Erik Maynard,XXXXX665A,1990-07-11T00:00:00Z,2012-08-01T00:00:00Z,Chemistry,CM2122,"[('Erik Maynard', 'Staff')]","[('Chemistry', 'Department')]","[('CM2122', 'Module')]","[{'from_type': 'Module', 'from_id': 'CM2122', 'to_type': 'Department', 'to_id': 'Chemistry', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'CM2122', 'to_type': 'Staff', 'to_id': 'Erik Maynard', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Erik Maynard', 'to_type': 'Department', 'to_id': 'Chemistry', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12571,Louis Hartman,XXXXX947A,1976-10-18T00:00:00Z,2001-01-21T00:00:00Z,Mathematics,MA2288,"[('Louis Hartman', 'Staff')]","[('Mathematics', 'Department')]","[('MA2288', 'Module')]","[{'from_type': 'Module', 'from_id': 'MA2288', 'to_type': 'Department', 'to_id': 'Mathematics', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'MA2288', 'to_type': 'Staff', 'to_id': 'Louis Hartman', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Louis Hartman', 'to_type': 'Department', 'to_id': 'Mathematics', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12572,Brian Castro,XXXXX743A,1979-06-21T00:00:00Z,1999-08-09T00:00:00Z,Chemical and Biomolecular Engineering,CN5202,"[('Brian Castro', 'Staff')]","[('Chemical and Biomolecular Engineering', 'Department')]","[('CN5202', 'Module')]","[{'from_type': 'Module', 'from_id': 'CN5202', 'to_type': 'Department', 'to_id': 'Chemical and Biomolecular Engineering', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'CN5202', 'to_type': 'Staff', 'to_id': 'Brian Castro', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Brian Castro', 'to_type': 'Department', 'to_id': 'Chemical and Biomolecular Engineering', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12573,Brittany Parsons,XXXXX307A,1972-10-14T00:00:00Z,2006-05-19T00:00:00Z,Civil and Environmental Engineering,OT5001,"[('Brittany Parsons', 'Staff')]","[('Civil and Environmental Engineering', 'Department')]","[('OT5001', 'Module')]","[{'from_type': 'Module', 'from_id': 'OT5001', 'to_type': 'Department', 'to_id': 'Civil and Environmental Engineering', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'OT5001', 'to_type': 'Staff', 'to_id': 'Brittany Parsons', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Brittany Parsons', 'to_type': 'Department', 'to_id': 'Civil and Environmental Engineering', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12574,Edward Chavez,XXXXX292A,1983-04-04T00:00:00Z,2012-08-01T00:00:00Z,Mathematics,MA1521,"[('Edward Chavez', 'Staff')]","[('Mathematics', 'Department')]","[('MA1521', 'Module')]","[{'from_type': 'Module', 'from_id': 'MA1521', 'to_type': 'Department', 'to_id': 'Mathematics', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'MA1521', 'to_type': 'Staff', 'to_id': 'Edward Chavez', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Edward Chavez', 'to_type': 'Department', 'to_id': 'Mathematics', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12575,Anna Kelly,XXXXX609A,1987-01-30T00:00:00Z,2001-07-25T00:00:00Z,BIZ Dean's Office,RE5001,"[('Anna Kelly', 'Staff')]","[(""BIZ Dean's Office"", 'Department')]","[('RE5001', 'Module')]","[{'from_type': 'Module', 'from_id': 'RE5001', 'to_type': 'Department', 'to_id': ""BIZ Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'RE5001', 'to_type': 'Staff', 'to_id': 'Anna Kelly', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Anna Kelly', 'to_type': 'Department', 'to_id': ""BIZ Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
