Student_Name,Matric_Number,NRIC,Year,Faculties,Major,Second_Major,Modules_Completed,Grades,Student_entities,Faculty_entities,Major_entities,Module_entities
Mary Miles,A0229576D,XXXXX296Z,1,Computing,Computer Science,,"['IS1108', 'CS1101S', 'DMC1401CS', 'DMC1401', 'CP1008', 'CS1010R', 'CS1231R', 'DMC1401IS']","{'IS1108': 'A', 'CS1101S': 'A+', 'DMC1401CS': 'A-', 'DMC1401': 'F', 'CP1008': 'B+', 'CS1010R': 'C', 'CS1231R': 'F', 'DMC1401IS': 'A-'}","[('Mary Miles', 'STUDENT')]","[('Computing', 'FACULTY')]","[('Computer Science', 'MAJOR')]","[('IS1108', 'MODULE'), ('CS1101S', 'MODULE'), ('DMC1401CS', 'MODULE'), ('DMC1401', 'MODULE'), ('CP1008', 'MODULE'), ('CS1010R', 'MODULE'), ('CS1231R', 'MODULE'), ('DMC1401IS', 'MODULE')]"
Leslie White,A0217074H,XXXXX855Z,1,YST Conservatory of Music,Music,,"['MUA1111', 'MUA1116', 'GEX1027', 'MUL1105', 'GET1040', 'CFA1111B', 'GEH1060', 'GET1019']","{'MUA1111': 'A-', 'MUA1116': 'B-', 'GEX1027': 'A+', 'MUL1105': 'B+', 'GET1040': 'A-', 'CFA1111B': 'D', 'GEH1060': 'A', 'GET1019': 'A-'}","[('Leslie White', 'STUDENT')]","[('YST Conservatory of Music', 'FACULTY')]","[('Music', 'MAJOR')]","[('MUA1111', 'MODULE'), ('MUA1116', 'MODULE'), ('GEX1027', 'MODULE'), ('MUL1105', 'MODULE'), ('GET1040', 'MODULE'), ('CFA1111B', 'MODULE'), ('GEH1060', 'MODULE'), ('GET1019', 'MODULE')]"
Stephanie Howell,A0281807L,XXXXX795Z,3,Computing,Business Analytics,,"['CS1010R', 'CP3106', 'CS1010X', 'CP1008', 'CS2040C', 'CS2108', 'CS3236R', 'CP2201', 'IS2218', 'CP2106', 'CS2030S', 'IS2102', 'CS3245', 'BT2102', 'GEI1000', 'IS2238', 'CS2220', 'IT2900', 'IT1244', 'IS1128', 'CS2100', 'IS3107', 'BT1101', 'DMC1401']","{'CS1010R': 'C', 'CP3106': 'A', 'CS1010X': 'C+', 'CP1008': 'A-', 'CS2040C': 'A-', 'CS2108': 'B-', 'CS3236R': 'C', 'CP2201': 'A', 'IS2218': 'F', 'CP2106': 'B', 'CS2030S': 'B+', 'IS2102': 'C+', 'CS3245': 'B-', 'BT2102': 'C+', 'GEI1000': 'A+', 'IS2238': 'C+', 'CS2220': 'A+', 'IT2900': 'B-', 'IT1244': 'A+', 'IS1128': 'B+', 'CS2100': 'F', 'IS3107': 'C+', 'BT1101': 'A-', 'DMC1401': 'D'}","[('Stephanie Howell', 'STUDENT')]","[('Computing', 'FACULTY')]","[('Business Analytics', 'MAJOR')]","[('CS1010R', 'MODULE'), ('CP3106', 'MODULE'), ('CS1010X', 'MODULE'), ('CP1008', 'MODULE'), ('CS2040C', 'MODULE'), ('CS2108', 'MODULE'), ('CS3236R', 'MODULE'), ('CP2201', 'MODULE'), ('IS2218', 'MODULE'), ('CP2106', 'MODULE'), ('CS2030S', 'MODULE'), ('IS2102', 'MODULE'), ('CS3245', 'MODULE'), ('BT2102', 'MODULE'), ('GEI1000', 'MODULE'), ('IS2238', 'MODULE'), ('CS2220', 'MODULE'), ('IT2900', 'MODULE'), ('IT1244', 'MODULE'), ('IS1128', 'MODULE'), ('CS2100', 'MODULE'), ('IS3107', 'MODULE'), ('BT1101', 'MODULE'), ('DMC1401', 'MODULE')]"
Thomas Sullivan,A0259095K,XXXXX336Z,2,College of Design and Engineering,Electrical Engineering,,"['ID1114', 'ID2112', 'AR2227', 'DTK1234', 'AR1102', 'ME2162', 'EE1111A', 'ID2118', 'IE2110', 'EG2605', 'BN2201', 'LAD1003', 'LAD2003', 'ESP2106', 'AR2328A', 'CDE2502']","{'ID1114': 'A+', 'ID2112': 'B', 'AR2227': 'B-', 'DTK1234': 'D', 'AR1102': 'C+', 'ME2162': 'F', 'EE1111A': 'B+', 'ID2118': 'C', 'IE2110': 'D', 'EG2605': 'C', 'BN2201': 'B+', 'LAD1003': 'D', 'LAD2003': 'A+', 'ESP2106': 'B-', 'AR2328A': 'A+', 'CDE2502': 'B-'}","[('Thomas Sullivan', 'STUDENT')]","[('College of Design and Engineering', 'FACULTY')]","[('Electrical Engineering', 'MAJOR')]","[('ID1114', 'MODULE'), ('ID2112', 'MODULE'), ('AR2227', 'MODULE'), ('DTK1234', 'MODULE'), ('AR1102', 'MODULE'), ('ME2162', 'MODULE'), ('EE1111A', 'MODULE'), ('ID2118', 'MODULE'), ('IE2110', 'MODULE'), ('EG2605', 'MODULE'), ('BN2201', 'MODULE'), ('LAD1003', 'MODULE'), ('LAD2003', 'MODULE'), ('ESP2106', 'MODULE'), ('AR2328A', 'MODULE'), ('CDE2502', 'MODULE')]"
Michael Jarvis,A0209249L,XXXXX985Z,4,Law,Law,,"['LL4050V', 'LC2009', 'LL4361Z', 'LC1002A', 'LL4515', 'LL4111V', 'LC1002G', 'LL4496V', 'LL4433V', 'LC1001D', 'LL4277V', 'LL4339', 'LC1002D', 'LL4094DV', 'LL4002', 'LL4525', 'LL4287V', 'LL4377V', 'LL4405A', 'LL4482V', 'LC1002E', 'LL4305', 'LL4054', 'LL4094EV', 'LL4029AV', 'LL4407', 'LC1002F', 'LL4024V', 'LL4402', 'LL4094AV', 'LL4063V', 'LL4327V']","{'LL4050V': 'A-', 'LC2009': 'B', 'LL4361Z': 'C+', 'LC1002A': 'D', 'LL4515': 'C+', 'LL4111V': 'B+', 'LC1002G': 'A-', 'LL4496V': 'B-', 'LL4433V': 'B-', 'LC1001D': 'C+', 'LL4277V': 'B+', 'LL4339': 'C', 'LC1002D': 'B+', 'LL4094DV': 'D', 'LL4002': 'C+', 'LL4525': 'C+', 'LL4287V': 'C', 'LL4377V': 'B-', 'LL4405A': 'B', 'LL4482V': 'A', 'LC1002E': 'A+', 'LL4305': 'B-', 'LL4054': 'B-', 'LL4094EV': 'B-', 'LL4029AV': 'C+', 'LL4407': 'A-', 'LC1002F': 'F', 'LL4024V': 'B-', 'LL4402': 'A', 'LL4094AV': 'B+', 'LL4063V': 'A-', 'LL4327V': 'F'}","[('Michael Jarvis', 'STUDENT')]","[('Law', 'FACULTY')]","[('Law', 'MAJOR')]","[('LL4050V', 'MODULE'), ('LC2009', 'MODULE'), ('LL4361Z', 'MODULE'), ('LC1002A', 'MODULE'), ('LL4515', 'MODULE'), ('LL4111V', 'MODULE'), ('LC1002G', 'MODULE'), ('LL4496V', 'MODULE'), ('LL4433V', 'MODULE'), ('LC1001D', 'MODULE'), ('LL4277V', 'MODULE'), ('LL4339', 'MODULE'), ('LC1002D', 'MODULE'), ('LL4094DV', 'MODULE'), ('LL4002', 'MODULE'), ('LL4525', 'MODULE'), ('LL4287V', 'MODULE'), ('LL4377V', 'MODULE'), ('LL4405A', 'MODULE'), ('LL4482V', 'MODULE'), ('LC1002E', 'MODULE'), ('LL4305', 'MODULE'), ('LL4054', 'MODULE'), ('LL4094EV', 'MODULE'), ('LL4029AV', 'MODULE'), ('LL4407', 'MODULE'), ('LC1002F', 'MODULE'), ('LL4024V', 'MODULE'), ('LL4402', 'MODULE'), ('LL4094AV', 'MODULE'), ('LL4063V', 'MODULE'), ('LL4327V', 'MODULE')]"
Allen Chan,A0205811L,XXXXX283Z,3,YST Conservatory of Music,Music,,"['MUA1172', 'CFA2210', 'GET1019', 'MUH3203', 'MUA3196', 'MUH1101', 'MUA1109', 'MUA3256', 'MUT3113', 'MUA3117', 'MUA1107', 'MUA1165', 'MUA1192', 'MUA1190', 'MUA3224', 'MUA1153', 'MUA1191', 'MUA3213', 'MUA2255B', 'MUH2201', 'MUA2204', 'MUA1111', 'MUA3113', 'MUA3154']","{'MUA1172': 'A-', 'CFA2210': 'C', 'GET1019': 'A+', 'MUH3203': 'A', 'MUA3196': 'C+', 'MUH1101': 'A+', 'MUA1109': 'B', 'MUA3256': 'B+', 'MUT3113': 'C+', 'MUA3117': 'D', 'MUA1107': 'B-', 'MUA1165': 'B', 'MUA1192': 'C+', 'MUA1190': 'B+', 'MUA3224': 'B+', 'MUA1153': 'D', 'MUA1191': 'F', 'MUA3213': 'C+', 'MUA2255B': 'B+', 'MUH2201': 'C', 'MUA2204': 'B', 'MUA1111': 'B+', 'MUA3113': 'A', 'MUA3154': 'D'}","[('Allen Chan', 'STUDENT')]","[('YST Conservatory of Music', 'FACULTY')]","[('Music', 'MAJOR')]","[('MUA1172', 'MODULE'), ('CFA2210', 'MODULE'), ('GET1019', 'MODULE'), ('MUH3203', 'MODULE'), ('MUA3196', 'MODULE'), ('MUH1101', 'MODULE'), ('MUA1109', 'MODULE'), ('MUA3256', 'MODULE'), ('MUT3113', 'MODULE'), ('MUA3117', 'MODULE'), ('MUA1107', 'MODULE'), ('MUA1165', 'MODULE'), ('MUA1192', 'MODULE'), ('MUA1190', 'MODULE'), ('MUA3224', 'MODULE'), ('MUA1153', 'MODULE'), ('MUA1191', 'MODULE'), ('MUA3213', 'MODULE'), ('MUA2255B', 'MODULE'), ('MUH2201', 'MODULE'), ('MUA2204', 'MODULE'), ('MUA1111', 'MODULE'), ('MUA3113', 'MODULE'), ('MUA3154', 'MODULE')]"
Bruce Carpenter,A0225874M,XXXXX930Z,4,YST Conservatory of Music,Music,,"['MUH2201', 'MUA1196', 'CFA1111B', 'GEC1014', 'MUH3203', 'MUA1168', 'MUT1101', 'MUA1153', 'MUT3216', 'MUT3113', 'MUA3153', 'MUA1170', 'MUA4113', 'MUH3205', 'MUA1154', 'GESS1015', 'MUA2256', 'MUA3154', 'MUA3188', 'MUA3117', 'MUA2196', 'MUH1101', 'GEH1060', 'MUA3205', 'MUA1101', 'MUA1190', 'MUT1102', 'MUA2255A', 'MUA3115', 'CFA1101A', 'MUA1115', 'MUA1109']","{'MUH2201': 'C+', 'MUA1196': 'A-', 'CFA1111B': 'B-', 'GEC1014': 'B-', 'MUH3203': 'B', 'MUA1168': 'C', 'MUT1101': 'C', 'MUA1153': 'A-', 'MUT3216': 'D', 'MUT3113': 'C', 'MUA3153': 'C', 'MUA1170': 'B+', 'MUA4113': 'A', 'MUH3205': 'C+', 'MUA1154': 'B-', 'GESS1015': 'C+', 'MUA2256': 'F', 'MUA3154': 'A-', 'MUA3188': 'A', 'MUA3117': 'B+', 'MUA2196': 'A+', 'MUH1101': 'C', 'GEH1060': 'A-', 'MUA3205': 'A-', 'MUA1101': 'C', 'MUA1190': 'B-', 'MUT1102': 'B+', 'MUA2255A': 'C', 'MUA3115': 'D', 'CFA1101A': 'B', 'MUA1115': 'B+', 'MUA1109': 'B-'}","[('Bruce Carpenter', 'STUDENT')]","[('YST Conservatory of Music', 'FACULTY')]","[('Music', 'MAJOR')]","[('MUH2201', 'MODULE'), ('MUA1196', 'MODULE'), ('CFA1111B', 'MODULE'), ('GEC1014', 'MODULE'), ('MUH3203', 'MODULE'), ('MUA1168', 'MODULE'), ('MUT1101', 'MODULE'), ('MUA1153', 'MODULE'), ('MUT3216', 'MODULE'), ('MUT3113', 'MODULE'), ('MUA3153', 'MODULE'), ('MUA1170', 'MODULE'), ('MUA4113', 'MODULE'), ('MUH3205', 'MODULE'), ('MUA1154', 'MODULE'), ('GESS1015', 'MODULE'), ('MUA2256', 'MODULE'), ('MUA3154', 'MODULE'), ('MUA3188', 'MODULE'), ('MUA3117', 'MODULE'), ('MUA2196', 'MODULE'), ('MUH1101', 'MODULE'), ('GEH1060', 'MODULE'), ('MUA3205', 'MODULE'), ('MUA1101', 'MODULE'), ('MUA1190', 'MODULE'), ('MUT1102', 'MODULE'), ('MUA2255A', 'MODULE'), ('MUA3115', 'MODULE'), ('CFA1101A', 'MODULE'), ('MUA1115', 'MODULE'), ('MUA1109', 'MODULE')]"
Kevin Simpson,A0287060B,XXXXX590Z,3,Arts and Social Science,Sociology,Music,"['GET1003', 'PE2101P', 'GEC1031', 'NM1101X', 'HY3256', 'GEC1018', 'SN2280', 'CL3550', 'SC3211', 'MS3209', 'GEI1001', 'GESS1021', 'GEC1039', 'NM3551', 'TS3243', 'GES1002', 'CH2161', 'PL3551', 'PH2201', 'GESS1013', 'GEC1001', 'SW3551R', 'PS3551', 'EN2206']","{'GET1003': 'B+', 'PE2101P': 'A+', 'GEC1031': 'F', 'NM1101X': 'B', 'HY3256': 'A', 'GEC1018': 'B', 'SN2280': 'C+', 'CL3550': 'B', 'SC3211': 'C+', 'MS3209': 'B-', 'GEI1001': 'F', 'GESS1021': 'A', 'GEC1039': 'A+', 'NM3551': 'B-', 'TS3243': 'A-', 'GES1002': 'B-', 'CH2161': 'A', 'PL3551': 'A-', 'PH2201': 'C', 'GESS1013': 'B-', 'GEC1001': 'D', 'SW3551R': 'B-', 'PS3551': 'B+', 'EN2206': 'C'}","[('Kevin Simpson', 'STUDENT')]","[('Arts and Social Science', 'FACULTY')]","[('Sociology', 'MAJOR')]","[('GET1003', 'MODULE'), ('PE2101P', 'MODULE'), ('GEC1031', 'MODULE'), ('NM1101X', 'MODULE'), ('HY3256', 'MODULE'), ('GEC1018', 'MODULE'), ('SN2280', 'MODULE'), ('CL3550', 'MODULE'), ('SC3211', 'MODULE'), ('MS3209', 'MODULE'), ('GEI1001', 'MODULE'), ('GESS1021', 'MODULE'), ('GEC1039', 'MODULE'), ('NM3551', 'MODULE'), ('TS3243', 'MODULE'), ('GES1002', 'MODULE'), ('CH2161', 'MODULE'), ('PL3551', 'MODULE'), ('PH2201', 'MODULE'), ('GESS1013', 'MODULE'), ('GEC1001', 'MODULE'), ('SW3551R', 'MODULE'), ('PS3551', 'MODULE'), ('EN2206', 'MODULE')]"
David Vazquez,A0292661M,XXXXX206Z,2,NUS Business School,Business Administration,Psychology,"['DMB1201DO', 'DMB1201BSP', 'DMB1202MKT', 'RE1901', 'RE1702', 'ACC1701A', 'BPM1701', 'DMB1204BSP', 'MNO1706D', 'DAO2702', 'DMB1203MKT', 'BSP1702X', 'RE1706', 'BSP1702', 'DMB1202BSP', 'MNO1706X']","{'DMB1201DO': 'C', 'DMB1201BSP': 'B+', 'DMB1202MKT': 'A-', 'RE1901': 'F', 'RE1702': 'D', 'ACC1701A': 'D', 'BPM1701': 'A-', 'DMB1204BSP': 'A-', 'MNO1706D': 'D', 'DAO2702': 'B+', 'DMB1203MKT': 'B', 'BSP1702X': 'C+', 'RE1706': 'F', 'BSP1702': 'A-', 'DMB1202BSP': 'B', 'MNO1706X': 'B-'}","[('David Vazquez', 'STUDENT')]","[('NUS Business School', 'FACULTY')]","[('Business Administration', 'MAJOR')]","[('DMB1201DO', 'MODULE'), ('DMB1201BSP', 'MODULE'), ('DMB1202MKT', 'MODULE'), ('RE1901', 'MODULE'), ('RE1702', 'MODULE'), ('ACC1701A', 'MODULE'), ('BPM1701', 'MODULE'), ('DMB1204BSP', 'MODULE'), ('MNO1706D', 'MODULE'), ('DAO2702', 'MODULE'), ('DMB1203MKT', 'MODULE'), ('BSP1702X', 'MODULE'), ('RE1706', 'MODULE'), ('BSP1702', 'MODULE'), ('DMB1202BSP', 'MODULE'), ('MNO1706X', 'MODULE')]"
Steven Warren,A0216476E,XXXXX134Z,4,College of Design and Engineering,Industrial Design,,"['ME2102', 'PF2107', 'EE4312', 'PF2504', 'CDE4301A', 'PF2205', 'EG2401A', 'CE3001', 'PF1101', 'ME3241', 'AR1328A', 'CE2409', 'PF4502', 'LAD4012', 'LAD4004', 'UIS3932', 'MLE3112', 'LAD2004', 'ID3110', 'AR1101', 'IPM4201', 'ESP4901', 'LAD2005', 'ID3128', 'CN4118N', 'BN2403', 'AR3722', 'AR2524', 'ID2116', 'ME3001', 'CE1103', 'BN4103']","{'ME2102': 'B-', 'PF2107': 'F', 'EE4312': 'C', 'PF2504': 'C', 'CDE4301A': 'D', 'PF2205': 'A-', 'EG2401A': 'A', 'CE3001': 'B-', 'PF1101': 'B-', 'ME3241': 'F', 'AR1328A': 'B+', 'CE2409': 'A', 'PF4502': 'B-', 'LAD4012': 'A', 'LAD4004': 'A-', 'UIS3932': 'A+', 'MLE3112': 'B', 'LAD2004': 'F', 'ID3110': 'B-', 'AR1101': 'D', 'IPM4201': 'A', 'ESP4901': 'A+', 'LAD2005': 'D', 'ID3128': 'F', 'CN4118N': 'B-', 'BN2403': 'F', 'AR3722': 'D', 'AR2524': 'B', 'ID2116': 'B', 'ME3001': 'B-', 'CE1103': 'A', 'BN4103': 'D'}","[('Steven Warren', 'STUDENT')]","[('College of Design and Engineering', 'FACULTY')]","[('Industrial Design', 'MAJOR')]","[('ME2102', 'MODULE'), ('PF2107', 'MODULE'), ('EE4312', 'MODULE'), ('PF2504', 'MODULE'), ('CDE4301A', 'MODULE'), ('PF2205', 'MODULE'), ('EG2401A', 'MODULE'), ('CE3001', 'MODULE'), ('PF1101', 'MODULE'), ('ME3241', 'MODULE'), ('AR1328A', 'MODULE'), ('CE2409', 'MODULE'), ('PF4502', 'MODULE'), ('LAD4012', 'MODULE'), ('LAD4004', 'MODULE'), ('UIS3932', 'MODULE'), ('MLE3112', 'MODULE'), ('LAD2004', 'MODULE'), ('ID3110', 'MODULE'), ('AR1101', 'MODULE'), ('IPM4201', 'MODULE'), ('ESP4901', 'MODULE'), ('LAD2005', 'MODULE'), ('ID3128', 'MODULE'), ('CN4118N', 'MODULE'), ('BN2403', 'MODULE'), ('AR3722', 'MODULE'), ('AR2524', 'MODULE'), ('ID2116', 'MODULE'), ('ME3001', 'MODULE'), ('CE1103', 'MODULE'), ('BN4103', 'MODULE')]"
Brianna Zimmerman,A0237275D,XXXXX364Z,2,Science,Physics,,"['UTOS2002F', 'UTOS2001', 'ST2313', 'SP2271', 'UTOS2001S', 'SP1230', 'CM2312', 'SP2201', 'UTOS2001F', 'GET1020', 'UTOS2002C', 'LSM1301', 'GESS1016', 'ENV2102', 'PHS1101', 'PHS2310']","{'UTOS2002F': 'F', 'UTOS2001': 'C+', 'ST2313': 'C+', 'SP2271': 'A', 'UTOS2001S': 'A-', 'SP1230': 'D', 'CM2312': 'B+', 'SP2201': 'F', 'UTOS2001F': 'D', 'GET1020': 'C', 'UTOS2002C': 'C', 'LSM1301': 'A', 'GESS1016': 'B-', 'ENV2102': 'A', 'PHS1101': 'A-', 'PHS2310': 'C'}","[('Brianna Zimmerman', 'STUDENT')]","[('Science', 'FACULTY')]","[('Physics', 'MAJOR')]","[('UTOS2002F', 'MODULE'), ('UTOS2001', 'MODULE'), ('ST2313', 'MODULE'), ('SP2271', 'MODULE'), ('UTOS2001S', 'MODULE'), ('SP1230', 'MODULE'), ('CM2312', 'MODULE'), ('SP2201', 'MODULE'), ('UTOS2001F', 'MODULE'), ('GET1020', 'MODULE'), ('UTOS2002C', 'MODULE'), ('LSM1301', 'MODULE'), ('GESS1016', 'MODULE'), ('ENV2102', 'MODULE'), ('PHS1101', 'MODULE'), ('PHS2310', 'MODULE')]"
Jason Green,A0205746U,XXXXX756Z,1,Science,Environmental Studies,,"['PR1154', 'ENV1101', 'SP1230', 'MA1301X', 'MA1505', 'PHS1101', 'MA1513', 'MA1100']","{'PR1154': 'F', 'ENV1101': 'A-', 'SP1230': 'C', 'MA1301X': 'A+', 'MA1505': 'B', 'PHS1101': 'F', 'MA1513': 'B', 'MA1100': 'A+'}","[('Jason Green', 'STUDENT')]","[('Science', 'FACULTY')]","[('Environmental Studies', 'MAJOR')]","[('PR1154', 'MODULE'), ('ENV1101', 'MODULE'), ('SP1230', 'MODULE'), ('MA1301X', 'MODULE'), ('MA1505', 'MODULE'), ('PHS1101', 'MODULE'), ('MA1513', 'MODULE'), ('MA1100', 'MODULE')]"
Amanda Rasmussen,A0241943I,XXXXX801Z,4,Arts and Social Science,History,,"['SE3226', 'PH2211', 'GE3250', 'GES1005', 'PE4401SHM', 'NM3245', 'PS4401', 'MS4401', 'EL2111', 'PH2201', 'HY4229', 'NM3205', 'SC4401', 'EN4880AHM', 'PH3207', 'CH2276', 'GEC1031', 'CH4227HM', 'SC4201HM', 'SN3275', 'NM3244', 'XFA4413', 'GEC1005', 'SW4401', 'JS4216', 'GESS1029', 'GE3206', 'EC3386', 'SN2275', 'XFA4405', 'GEH1077', 'NM3217']","{'SE3226': 'F', 'PH2211': 'A+', 'GE3250': 'D', 'GES1005': 'C+', 'PE4401SHM': 'A-', 'NM3245': 'A-', 'PS4401': 'A+', 'MS4401': 'B-', 'EL2111': 'A-', 'PH2201': 'B', 'HY4229': 'B+', 'NM3205': 'B-', 'SC4401': 'B-', 'EN4880AHM': 'B+', 'PH3207': 'B', 'CH2276': 'A+', 'GEC1031': 'C+', 'CH4227HM': 'C', 'SC4201HM': 'D', 'SN3275': 'B+', 'NM3244': 'F', 'XFA4413': 'C', 'GEC1005': 'B+', 'SW4401': 'F', 'JS4216': 'A+', 'GESS1029': 'B+', 'GE3206': 'A-', 'EC3386': 'F', 'SN2275': 'A+', 'XFA4405': 'F', 'GEH1077': 'B+', 'NM3217': 'A+'}","[('Amanda Rasmussen', 'STUDENT')]","[('Arts and Social Science', 'FACULTY')]","[('History', 'MAJOR')]","[('SE3226', 'MODULE'), ('PH2211', 'MODULE'), ('GE3250', 'MODULE'), ('GES1005', 'MODULE'), ('PE4401SHM', 'MODULE'), ('NM3245', 'MODULE'), ('PS4401', 'MODULE'), ('MS4401', 'MODULE'), ('EL2111', 'MODULE'), ('PH2201', 'MODULE'), ('HY4229', 'MODULE'), ('NM3205', 'MODULE'), ('SC4401', 'MODULE'), ('EN4880AHM', 'MODULE'), ('PH3207', 'MODULE'), ('CH2276', 'MODULE'), ('GEC1031', 'MODULE'), ('CH4227HM', 'MODULE'), ('SC4201HM', 'MODULE'), ('SN3275', 'MODULE'), ('NM3244', 'MODULE'), ('XFA4413', 'MODULE'), ('GEC1005', 'MODULE'), ('SW4401', 'MODULE'), ('JS4216', 'MODULE'), ('GESS1029', 'MODULE'), ('GE3206', 'MODULE'), ('EC3386', 'MODULE'), ('SN2275', 'MODULE'), ('XFA4405', 'MODULE'), ('GEH1077', 'MODULE'), ('NM3217', 'MODULE')]"
Michelle Martin,A0261578J,XXXXX895Z,3,Computing,Information Systems,,"['CS1010S', 'IS2218', 'IT1244', 'CS2030S', 'CS2103', 'GEI1000', 'DMC1401', 'CS1010R', 'CS2102', 'CS2103R', 'CP1008', 'CP2201', 'IS2102', 'CS3217', 'BT3102', 'CS3233', 'CS3203', 'CS3281', 'CS2100', 'CP3880', 'CP3209R', 'IS3240', 'CS3241', 'CP3208']","{'CS1010S': 'C', 'IS2218': 'F', 'IT1244': 'A-', 'CS2030S': 'B+', 'CS2103': 'B-', 'GEI1000': 'C+', 'DMC1401': 'A', 'CS1010R': 'B', 'CS2102': 'A-', 'CS2103R': 'A', 'CP1008': 'B+', 'CP2201': 'B-', 'IS2102': 'B+', 'CS3217': 'B-', 'BT3102': 'C', 'CS3233': 'A+', 'CS3203': 'B', 'CS3281': 'F', 'CS2100': 'C+', 'CP3880': 'F', 'CP3209R': 'B', 'IS3240': 'B+', 'CS3241': 'C', 'CP3208': 'F'}","[('Michelle Martin', 'STUDENT')]","[('Computing', 'FACULTY')]","[('Information Systems', 'MAJOR')]","[('CS1010S', 'MODULE'), ('IS2218', 'MODULE'), ('IT1244', 'MODULE'), ('CS2030S', 'MODULE'), ('CS2103', 'MODULE'), ('GEI1000', 'MODULE'), ('DMC1401', 'MODULE'), ('CS1010R', 'MODULE'), ('CS2102', 'MODULE'), ('CS2103R', 'MODULE'), ('CP1008', 'MODULE'), ('CP2201', 'MODULE'), ('IS2102', 'MODULE'), ('CS3217', 'MODULE'), ('BT3102', 'MODULE'), ('CS3233', 'MODULE'), ('CS3203', 'MODULE'), ('CS3281', 'MODULE'), ('CS2100', 'MODULE'), ('CP3880', 'MODULE'), ('CP3209R', 'MODULE'), ('IS3240', 'MODULE'), ('CS3241', 'MODULE'), ('CP3208', 'MODULE')]"
Gina Jimenez,A0264665H,XXXXX167Z,4,YST Conservatory of Music,Music,,"['MUA1190', 'GEH1060', 'MUT1102', 'MUA3169', 'MUA2157', 'MUA1240', 'MUA3271', 'MUA2204', 'CFA1111B', 'MUA4172', 'CFA1101B', 'GEX1027', 'MUA2177', 'MUA3181', 'MUA3194', 'MUT2101', 'MUT3224', 'MUA3205', 'MUL1105', 'MUA3256', 'MUA2255A', 'GES1020', 'MUT2102', 'MUA2256', 'MUH2201', 'GEX1022', 'MUA1161', 'MUA3230', 'MUA4180', 'MUA1116', 'MUA3188', 'MUH2204']","{'MUA1190': 'D', 'GEH1060': 'B', 'MUT1102': 'B-', 'MUA3169': 'C+', 'MUA2157': 'F', 'MUA1240': 'A+', 'MUA3271': 'B-', 'MUA2204': 'F', 'CFA1111B': 'D', 'MUA4172': 'B', 'CFA1101B': 'A+', 'GEX1027': 'B', 'MUA2177': 'B+', 'MUA3181': 'B+', 'MUA3194': 'B-', 'MUT2101': 'B-', 'MUT3224': 'B', 'MUA3205': 'A-', 'MUL1105': 'A+', 'MUA3256': 'A', 'MUA2255A': 'B-', 'GES1020': 'A+', 'MUT2102': 'B-', 'MUA2256': 'D', 'MUH2201': 'B-', 'GEX1022': 'C+', 'MUA1161': 'A+', 'MUA3230': 'B', 'MUA4180': 'D', 'MUA1116': 'C', 'MUA3188': 'C', 'MUH2204': 'C'}","[('Gina Jimenez', 'STUDENT')]","[('YST Conservatory of Music', 'FACULTY')]","[('Music', 'MAJOR')]","[('MUA1190', 'MODULE'), ('GEH1060', 'MODULE'), ('MUT1102', 'MODULE'), ('MUA3169', 'MODULE'), ('MUA2157', 'MODULE'), ('MUA1240', 'MODULE'), ('MUA3271', 'MODULE'), ('MUA2204', 'MODULE'), ('CFA1111B', 'MODULE'), ('MUA4172', 'MODULE'), ('CFA1101B', 'MODULE'), ('GEX1027', 'MODULE'), ('MUA2177', 'MODULE'), ('MUA3181', 'MODULE'), ('MUA3194', 'MODULE'), ('MUT2101', 'MODULE'), ('MUT3224', 'MODULE'), ('MUA3205', 'MODULE'), ('MUL1105', 'MODULE'), ('MUA3256', 'MODULE'), ('MUA2255A', 'MODULE'), ('GES1020', 'MODULE'), ('MUT2102', 'MODULE'), ('MUA2256', 'MODULE'), ('MUH2201', 'MODULE'), ('GEX1022', 'MODULE'), ('MUA1161', 'MODULE'), ('MUA3230', 'MODULE'), ('MUA4180', 'MODULE'), ('MUA1116', 'MODULE'), ('MUA3188', 'MODULE'), ('MUH2204', 'MODULE')]"
