Employee ID,Employee Name,NRIC,DOB,DOJ,Department,Modules Taught,staff_entities,department_entities,module_entities,relationships
NUSPF12474,Tiffany Benjamin,XXXXX785A,1983-02-17T00:00:00Z,2002-06-16T00:00:00Z,SCALE Dean's Office,TEE3501,"[('Tiffany Benjamin', 'STAFF')]","[(""SCALE Dean's Office"", 'DEPARTMENT')]","[('TEE3501', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'TEE3501', 'to_type': 'DEPARTMENT', 'to_id': ""SCALE Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'TEE3501', 'to_type': 'STAFF', 'to_id': 'Tiffany Benjamin', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Tiffany Benjamin', 'to_type': 'DEPARTMENT', 'to_id': ""SCALE Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12475,Donald Mayo,XXXXX399A,1989-11-17T00:00:00Z,2014-04-01T00:00:00Z,Philosophy,PH3203,"[('Donald Mayo', 'STAFF')]","[('Philosophy', 'DEPARTMENT')]","[('PH3203', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'PH3203', 'to_type': 'DEPARTMENT', 'to_id': 'Philosophy', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'PH3203', 'to_type': 'STAFF', 'to_id': 'Donald Mayo', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Donald Mayo', 'to_type': 'DEPARTMENT', 'to_id': 'Philosophy', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12476,Fred Brown,XXXXX748A,1980-02-19T00:00:00Z,1999-12-22T00:00:00Z,BIZ Dean's Office,BMS5415,"[('Fred Brown', 'STAFF')]","[(""BIZ Dean's Office"", 'DEPARTMENT')]","[('BMS5415', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'BMS5415', 'to_type': 'DEPARTMENT', 'to_id': ""BIZ Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'BMS5415', 'to_type': 'STAFF', 'to_id': 'Fred Brown', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Fred Brown', 'to_type': 'DEPARTMENT', 'to_id': ""BIZ Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12477,David Mann,XXXXX204A,1973-11-08T00:00:00Z,2006-06-08T00:00:00Z,Psychology,PL5221R,"[('David Mann', 'STAFF')]","[('Psychology', 'DEPARTMENT')]","[('PL5221R', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'PL5221R', 'to_type': 'DEPARTMENT', 'to_id': 'Psychology', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'PL5221R', 'to_type': 'STAFF', 'to_id': 'David Mann', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'David Mann', 'to_type': 'DEPARTMENT', 'to_id': 'Psychology', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12478,George Sutton,XXXXX576A,1969-08-30T00:00:00Z,2002-02-01T00:00:00Z,English,GEH1054,"[('George Sutton', 'STAFF')]","[('English', 'DEPARTMENT')]","[('GEH1054', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'GEH1054', 'to_type': 'DEPARTMENT', 'to_id': 'English', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'GEH1054', 'to_type': 'STAFF', 'to_id': 'George Sutton', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'George Sutton', 'to_type': 'DEPARTMENT', 'to_id': 'English', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12479,Kimberly Gray,XXXXX541A,1990-11-26T00:00:00Z,2001-01-14T00:00:00Z,Finance,FIN3702A,"[('Kimberly Gray', 'STAFF')]","[('Finance', 'DEPARTMENT')]","[('FIN3702A', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'FIN3702A', 'to_type': 'DEPARTMENT', 'to_id': 'Finance', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'FIN3702A', 'to_type': 'STAFF', 'to_id': 'Kimberly Gray', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Kimberly Gray', 'to_type': 'DEPARTMENT', 'to_id': 'Finance', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12480,Jacob Browning,XXXXX902A,1983-07-27T00:00:00Z,2010-10-06T00:00:00Z,CDE Dean's Office,UTOD2002,"[('Jacob Browning', 'STAFF')]","[(""CDE Dean's Office"", 'DEPARTMENT')]","[('UTOD2002', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'UTOD2002', 'to_type': 'DEPARTMENT', 'to_id': ""CDE Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'UTOD2002', 'to_type': 'STAFF', 'to_id': 'Jacob Browning', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Jacob Browning', 'to_type': 'DEPARTMENT', 'to_id': ""CDE Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12481,Cory Bush,XXXXX496A,1991-06-30T00:00:00Z,2004-04-22T00:00:00Z,SCALE Dean's Office,TCN4122,"[('Cory Bush', 'STAFF')]","[(""SCALE Dean's Office"", 'DEPARTMENT')]","[('TCN4122', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'TCN4122', 'to_type': 'DEPARTMENT', 'to_id': ""SCALE Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'TCN4122', 'to_type': 'STAFF', 'to_id': 'Cory Bush', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Cory Bush', 'to_type': 'DEPARTMENT', 'to_id': ""SCALE Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12482,Hayley Roberts,XXXXX600A,1974-02-16T00:00:00Z,2013-07-05T00:00:00Z,Economics,EC2374,"[('Hayley Roberts', 'STAFF')]","[('Economics', 'DEPARTMENT')]","[('EC2374', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'EC2374', 'to_type': 'DEPARTMENT', 'to_id': 'Economics', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'EC2374', 'to_type': 'STAFF', 'to_id': 'Hayley Roberts', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Hayley Roberts', 'to_type': 'DEPARTMENT', 'to_id': 'Economics', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12483,Christopher Ramos,XXXXX158A,1972-11-23T00:00:00Z,2013-10-13T00:00:00Z,Chemical and Biomolecular Engineering,SH5402,"[('Christopher Ramos', 'STAFF')]","[('Chemical and Biomolecular Engineering', 'DEPARTMENT')]","[('SH5402', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'SH5402', 'to_type': 'DEPARTMENT', 'to_id': 'Chemical and Biomolecular Engineering', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'SH5402', 'to_type': 'STAFF', 'to_id': 'Christopher Ramos', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Christopher Ramos', 'to_type': 'DEPARTMENT', 'to_id': 'Chemical and Biomolecular Engineering', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12484,Spencer Cooper,XXXXX228A,1987-11-27T00:00:00Z,2001-06-02T00:00:00Z,FoL Dean's Office,LL5461V,"[('Spencer Cooper', 'STAFF')]","[(""FoL Dean's Office"", 'DEPARTMENT')]","[('LL5461V', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'LL5461V', 'to_type': 'DEPARTMENT', 'to_id': ""FoL Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'LL5461V', 'to_type': 'STAFF', 'to_id': 'Spencer Cooper', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Spencer Cooper', 'to_type': 'DEPARTMENT', 'to_id': ""FoL Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12485,Raymond Taylor,XXXXX722A,1983-07-24T00:00:00Z,2006-03-29T00:00:00Z,Alice Lee Center for Nursing Studies,NUR2502,"[('Raymond Taylor', 'STAFF')]","[('Alice Lee Center for Nursing Studies', 'DEPARTMENT')]","[('NUR2502', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'NUR2502', 'to_type': 'DEPARTMENT', 'to_id': 'Alice Lee Center for Nursing Studies', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'NUR2502', 'to_type': 'STAFF', 'to_id': 'Raymond Taylor', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Raymond Taylor', 'to_type': 'DEPARTMENT', 'to_id': 'Alice Lee Center for Nursing Studies', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12486,Desiree King,XXXXX352A,1981-12-08T00:00:00Z,2011-01-29T00:00:00Z,Management and Organisation,BMO6023A,"[('Desiree King', 'STAFF')]","[('Management and Organisation', 'DEPARTMENT')]","[('BMO6023A', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'BMO6023A', 'to_type': 'DEPARTMENT', 'to_id': 'Management and Organisation', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'BMO6023A', 'to_type': 'STAFF', 'to_id': 'Desiree King', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Desiree King', 'to_type': 'DEPARTMENT', 'to_id': 'Management and Organisation', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12487,Antonio Hernandez,XXXXX600A,1994-05-13T00:00:00Z,2008-10-11T00:00:00Z,NUS College Dean's Office,NHT2211,"[('Antonio Hernandez', 'STAFF')]","[(""NUS College Dean's Office"", 'DEPARTMENT')]","[('NHT2211', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'NHT2211', 'to_type': 'DEPARTMENT', 'to_id': ""NUS College Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'NHT2211', 'to_type': 'STAFF', 'to_id': 'Antonio Hernandez', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Antonio Hernandez', 'to_type': 'DEPARTMENT', 'to_id': ""NUS College Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12488,Diana Gill,XXXXX321A,1984-12-24T00:00:00Z,2010-11-11T00:00:00Z,Chinese Studies,CH6248,"[('Diana Gill', 'STAFF')]","[('Chinese Studies', 'DEPARTMENT')]","[('CH6248', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'CH6248', 'to_type': 'DEPARTMENT', 'to_id': 'Chinese Studies', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'CH6248', 'to_type': 'STAFF', 'to_id': 'Diana Gill', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Diana Gill', 'to_type': 'DEPARTMENT', 'to_id': 'Chinese Studies', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12489,Jeffrey Pollard,XXXXX243A,1973-01-31T00:00:00Z,2006-10-19T00:00:00Z,Information Systems and Analytics,BT5151,"[('Jeffrey Pollard', 'STAFF')]","[('Information Systems and Analytics', 'DEPARTMENT')]","[('BT5151', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'BT5151', 'to_type': 'DEPARTMENT', 'to_id': 'Information Systems and Analytics', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'BT5151', 'to_type': 'STAFF', 'to_id': 'Jeffrey Pollard', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Jeffrey Pollard', 'to_type': 'DEPARTMENT', 'to_id': 'Information Systems and Analytics', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12490,Tina Lewis,XXXXX425A,1971-04-15T00:00:00Z,2003-07-18T00:00:00Z,NUS College Dean's Office,NSS2001C,"[('Tina Lewis', 'STAFF')]","[(""NUS College Dean's Office"", 'DEPARTMENT')]","[('NSS2001C', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'NSS2001C', 'to_type': 'DEPARTMENT', 'to_id': ""NUS College Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'NSS2001C', 'to_type': 'STAFF', 'to_id': 'Tina Lewis', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Tina Lewis', 'to_type': 'DEPARTMENT', 'to_id': ""NUS College Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12491,Scott Johnson,XXXXX458A,1978-01-01T00:00:00Z,2014-01-15T00:00:00Z,Political Science,PS4883A,"[('Scott Johnson', 'STAFF')]","[('Political Science', 'DEPARTMENT')]","[('PS4883A', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'PS4883A', 'to_type': 'DEPARTMENT', 'to_id': 'Political Science', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'PS4883A', 'to_type': 'STAFF', 'to_id': 'Scott Johnson', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Scott Johnson', 'to_type': 'DEPARTMENT', 'to_id': 'Political Science', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12492,Kyle Bolton,XXXXX499A,1988-12-05T00:00:00Z,2007-10-03T00:00:00Z,SSH School of Public Health Dean's Office,SPH5417,"[('Kyle Bolton', 'STAFF')]","[(""SSH School of Public Health Dean's Office"", 'DEPARTMENT')]","[('SPH5417', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'SPH5417', 'to_type': 'DEPARTMENT', 'to_id': ""SSH School of Public Health Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'SPH5417', 'to_type': 'STAFF', 'to_id': 'Kyle Bolton', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Kyle Bolton', 'to_type': 'DEPARTMENT', 'to_id': ""SSH School of Public Health Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12493,Jackie Anderson,XXXXX534A,1984-05-15T00:00:00Z,2001-03-28T00:00:00Z,Biomedical Engineering,BN2111,"[('Jackie Anderson', 'STAFF')]","[('Biomedical Engineering', 'DEPARTMENT')]","[('BN2111', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'BN2111', 'to_type': 'DEPARTMENT', 'to_id': 'Biomedical Engineering', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'BN2111', 'to_type': 'STAFF', 'to_id': 'Jackie Anderson', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Jackie Anderson', 'to_type': 'DEPARTMENT', 'to_id': 'Biomedical Engineering', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12494,Nicole James,XXXXX144A,1980-11-30T00:00:00Z,2001-08-05T00:00:00Z,CDE Dean's Office,EG3612,"[('Nicole James', 'STAFF')]","[(""CDE Dean's Office"", 'DEPARTMENT')]","[('EG3612', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'EG3612', 'to_type': 'DEPARTMENT', 'to_id': ""CDE Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'EG3612', 'to_type': 'STAFF', 'to_id': 'Nicole James', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Nicole James', 'to_type': 'DEPARTMENT', 'to_id': ""CDE Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12495,Jessica Walker,XXXXX137A,1981-08-27T00:00:00Z,2006-05-15T00:00:00Z,YSTCM Dean's Office,MUA2159,"[('Jessica Walker', 'STAFF')]","[(""YSTCM Dean's Office"", 'DEPARTMENT')]","[('MUA2159', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'MUA2159', 'to_type': 'DEPARTMENT', 'to_id': ""YSTCM Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'MUA2159', 'to_type': 'STAFF', 'to_id': 'Jessica Walker', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Jessica Walker', 'to_type': 'DEPARTMENT', 'to_id': ""YSTCM Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12496,Regina Brown,XXXXX293A,1988-01-19T00:00:00Z,2007-09-02T00:00:00Z,Southeast Asian Studies,SE3551,"[('Regina Brown', 'STAFF')]","[('Southeast Asian Studies', 'DEPARTMENT')]","[('SE3551', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'SE3551', 'to_type': 'DEPARTMENT', 'to_id': 'Southeast Asian Studies', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'SE3551', 'to_type': 'STAFF', 'to_id': 'Regina Brown', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Regina Brown', 'to_type': 'DEPARTMENT', 'to_id': 'Southeast Asian Studies', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12497,Shelby Bell,XXXXX744A,1978-09-01T00:00:00Z,2010-08-26T00:00:00Z,Japanese Studies,JS2233,"[('Shelby Bell', 'STAFF')]","[('Japanese Studies', 'DEPARTMENT')]","[('JS2233', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'JS2233', 'to_type': 'DEPARTMENT', 'to_id': 'Japanese Studies', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'JS2233', 'to_type': 'STAFF', 'to_id': 'Shelby Bell', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Shelby Bell', 'to_type': 'DEPARTMENT', 'to_id': 'Japanese Studies', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12498,Christina Cervantes,XXXXX943A,1979-07-16T00:00:00Z,2003-04-27T00:00:00Z,SoC Dean's Office,CP3108B,"[('Christina Cervantes', 'STAFF')]","[(""SoC Dean's Office"", 'DEPARTMENT')]","[('CP3108B', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'CP3108B', 'to_type': 'DEPARTMENT', 'to_id': ""SoC Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'CP3108B', 'to_type': 'STAFF', 'to_id': 'Christina Cervantes', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Christina Cervantes', 'to_type': 'DEPARTMENT', 'to_id': ""SoC Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12499,Robert Jones,XXXXX168A,1983-01-25T00:00:00Z,2009-07-29T00:00:00Z,Duke-NUS Dean's Office,GMS5721,"[('Robert Jones', 'STAFF')]","[(""Duke-NUS Dean's Office"", 'DEPARTMENT')]","[('GMS5721', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'GMS5721', 'to_type': 'DEPARTMENT', 'to_id': ""Duke-NUS Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'GMS5721', 'to_type': 'STAFF', 'to_id': 'Robert Jones', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Robert Jones', 'to_type': 'DEPARTMENT', 'to_id': ""Duke-NUS Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12500,Michael Myers,XXXXX712A,1986-07-07T00:00:00Z,2013-11-23T00:00:00Z,FoL Dean's Office,LL5008BV,"[('Michael Myers', 'STAFF')]","[(""FoL Dean's Office"", 'DEPARTMENT')]","[('LL5008BV', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'LL5008BV', 'to_type': 'DEPARTMENT', 'to_id': ""FoL Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'LL5008BV', 'to_type': 'STAFF', 'to_id': 'Michael Myers', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Michael Myers', 'to_type': 'DEPARTMENT', 'to_id': ""FoL Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12501,Terri Nichols,XXXXX464A,1980-04-28T00:00:00Z,2010-04-13T00:00:00Z,Yale-NUS College,YSS3364,"[('Terri Nichols', 'STAFF')]","[('Yale-NUS College', 'DEPARTMENT')]","[('YSS3364', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'YSS3364', 'to_type': 'DEPARTMENT', 'to_id': 'Yale-NUS College', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'YSS3364', 'to_type': 'STAFF', 'to_id': 'Terri Nichols', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Terri Nichols', 'to_type': 'DEPARTMENT', 'to_id': 'Yale-NUS College', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12502,Jacob Payne,XXXXX442A,1971-06-18T00:00:00Z,2007-05-30T00:00:00Z,YSTCM Dean's Office,GET1040,"[('Jacob Payne', 'STAFF')]","[(""YSTCM Dean's Office"", 'DEPARTMENT')]","[('GET1040', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'GET1040', 'to_type': 'DEPARTMENT', 'to_id': ""YSTCM Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'GET1040', 'to_type': 'STAFF', 'to_id': 'Jacob Payne', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Jacob Payne', 'to_type': 'DEPARTMENT', 'to_id': ""YSTCM Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12503,Christina Farmer,XXXXX689A,1985-11-09T00:00:00Z,2009-12-22T00:00:00Z,Duke-NUS Dean's Office,GMS5502,"[('Christina Farmer', 'STAFF')]","[(""Duke-NUS Dean's Office"", 'DEPARTMENT')]","[('GMS5502', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'GMS5502', 'to_type': 'DEPARTMENT', 'to_id': ""Duke-NUS Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'GMS5502', 'to_type': 'STAFF', 'to_id': 'Christina Farmer', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Christina Farmer', 'to_type': 'DEPARTMENT', 'to_id': ""Duke-NUS Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12504,Ann Obrien,XXXXX681A,1991-02-10T00:00:00Z,2012-08-21T00:00:00Z,FoL Dean's Office,LC5336,"[('Ann Obrien', 'STAFF')]","[(""FoL Dean's Office"", 'DEPARTMENT')]","[('LC5336', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'LC5336', 'to_type': 'DEPARTMENT', 'to_id': ""FoL Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'LC5336', 'to_type': 'STAFF', 'to_id': 'Ann Obrien', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Ann Obrien', 'to_type': 'DEPARTMENT', 'to_id': ""FoL Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12505,Julia Marshall,XXXXX987A,1988-07-30T00:00:00Z,2011-06-03T00:00:00Z,SSH School of Public Health Dean's Office,SPH6001,"[('Julia Marshall', 'STAFF')]","[(""SSH School of Public Health Dean's Office"", 'DEPARTMENT')]","[('SPH6001', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'SPH6001', 'to_type': 'DEPARTMENT', 'to_id': ""SSH School of Public Health Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'SPH6001', 'to_type': 'STAFF', 'to_id': 'Julia Marshall', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Julia Marshall', 'to_type': 'DEPARTMENT', 'to_id': ""SSH School of Public Health Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12506,Andrew Hughes,XXXXX332A,1980-01-25T00:00:00Z,2008-02-23T00:00:00Z,Civil and Environmental Engineering,ESE4502N,"[('Andrew Hughes', 'STAFF')]","[('Civil and Environmental Engineering', 'DEPARTMENT')]","[('ESE4502N', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'ESE4502N', 'to_type': 'DEPARTMENT', 'to_id': 'Civil and Environmental Engineering', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'ESE4502N', 'to_type': 'STAFF', 'to_id': 'Andrew Hughes', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Andrew Hughes', 'to_type': 'DEPARTMENT', 'to_id': 'Civil and Environmental Engineering', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12507,Deborah Jones,XXXXX861A,1985-05-12T00:00:00Z,2001-02-20T00:00:00Z,Electrical and Computer Engineering,EE5507,"[('Deborah Jones', 'STAFF')]","[('Electrical and Computer Engineering', 'DEPARTMENT')]","[('EE5507', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'EE5507', 'to_type': 'DEPARTMENT', 'to_id': 'Electrical and Computer Engineering', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'EE5507', 'to_type': 'STAFF', 'to_id': 'Deborah Jones', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Deborah Jones', 'to_type': 'DEPARTMENT', 'to_id': 'Electrical and Computer Engineering', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12508,Sheena Johnson,XXXXX816A,1972-12-05T00:00:00Z,2006-10-04T00:00:00Z,Chemistry,CM5268,"[('Sheena Johnson', 'STAFF')]","[('Chemistry', 'DEPARTMENT')]","[('CM5268', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'CM5268', 'to_type': 'DEPARTMENT', 'to_id': 'Chemistry', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'CM5268', 'to_type': 'STAFF', 'to_id': 'Sheena Johnson', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Sheena Johnson', 'to_type': 'DEPARTMENT', 'to_id': 'Chemistry', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12509,Rebecca Bridges,XXXXX610A,1976-01-12T00:00:00Z,2007-05-11T00:00:00Z,Mathematics,MA1100,"[('Rebecca Bridges', 'STAFF')]","[('Mathematics', 'DEPARTMENT')]","[('MA1100', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'MA1100', 'to_type': 'DEPARTMENT', 'to_id': 'Mathematics', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'MA1100', 'to_type': 'STAFF', 'to_id': 'Rebecca Bridges', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Rebecca Bridges', 'to_type': 'DEPARTMENT', 'to_id': 'Mathematics', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12510,Candice Gomez,XXXXX280A,1970-04-12T00:00:00Z,2003-03-10T00:00:00Z,PharmacyandPharmaceuticalScience,PR5134A,"[('Candice Gomez', 'STAFF')]","[('PharmacyandPharmaceuticalScience', 'DEPARTMENT')]","[('PR5134A', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'PR5134A', 'to_type': 'DEPARTMENT', 'to_id': 'PharmacyandPharmaceuticalScience', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'PR5134A', 'to_type': 'STAFF', 'to_id': 'Candice Gomez', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Candice Gomez', 'to_type': 'DEPARTMENT', 'to_id': 'PharmacyandPharmaceuticalScience', 'type': 'EMPLOYED_UNDER'}]"
