Student_Name,Matric_Number,NRIC,Year,Faculties,Major,Second Major,Modules_Completed,Grades
Tasha Hernandez,A0291526Z,XXXXX165Z,3,NUS Business School,Business Administration,,"['DMB1204MKT', 'BSN3702', 'BI3003D', 'BST3762', 'BSN3703', 'BPM1701', 'DMB1203BSP', 'BI3712R', 'DMB1202MNO', 'FIN3751', 'DMB1203DO', 'BI3003C', 'DOS3811', 'MNO1706X', 'RE2705', 'MNO2706', 'DMB1203MKT', 'MKT1705D', 'BI3001C', 'DMB1204FIN', 'DMB1201DO', 'BI3704A', 'DMB1202DO', 'BSP1702']","{'DMB1204MKT': 'B', 'BSN3702': 'B', 'BI3003D': 'B', 'BST3762': 'B', 'BSN3703': 'B', 'BPM1701': 'A', 'DMB1203BSP': 'B+', 'BI3712R': 'A+', 'DMB1202MNO': 'F', 'FIN3751': 'A', 'DMB1203DO': 'A+', 'BI3003C': 'C+', 'DOS3811': 'C+', 'MNO1706X': 'A', 'RE2705': 'D', 'MNO2706': 'F', 'DMB1203MKT': 'B-', 'MKT1705D': 'F', 'BI3001C': 'B', 'DMB1204FIN': 'A-', 'DMB1201DO': 'D', 'BI3704A': 'D', 'DMB1202DO': 'B+', 'BSP1702': 'C+'}"
Elizabeth Jones,A0269637H,XXXXX328Z,4,Arts and Social Science,Social Work,Music,"['GL3551', 'JS2230', 'PS1101E', 'CH3550', 'GET1044', 'GEX1000', 'SE4218HM', 'PS2255', 'NM4254HM', 'HY4207HM', 'HY4233', 'CH4204', 'NM4245', 'HY4229HM', 'MS2220', 'GEC1018', 'HS2923', 'SC3203', 'EL4216', 'HY4214', 'MS2218', 'SC1101E', 'SW3217', 'GES1009', 'GEN2000', 'PS2266', 'GEC1007', 'HY4228HM', 'GEC1049', 'GE3256', 'SC4219HM', 'EN4265HM']","{'GL3551': 'F', 'JS2230': 'A-', 'PS1101E': 'B-', 'CH3550': 'B-', 'GET1044': 'A', 'GEX1000': 'F', 'SE4218HM': 'A-', 'PS2255': 'A-', 'NM4254HM': 'A+', 'HY4207HM': 'B-', 'HY4233': 'F', 'CH4204': 'C+', 'NM4245': 'F', 'HY4229HM': 'F', 'MS2220': 'B', 'GEC1018': 'C', 'HS2923': 'B+', 'SC3203': 'C', 'EL4216': 'A+', 'HY4214': 'A', 'MS2218': 'C', 'SC1101E': 'D', 'SW3217': 'A', 'GES1009': 'B-', 'GEN2000': 'B+', 'PS2266': 'C+', 'GEC1007': 'B+', 'HY4228HM': 'C', 'GEC1049': 'A-', 'GE3256': 'D', 'SC4219HM': 'A+', 'EN4265HM': 'C'}"
Garrett Golden,A0233424U,XXXXX795Z,1,Yong Loo Lin Sch of Medicine,Medicine,,"['MIH1101', 'MIH1102', 'NUR1108C', 'NUR1114A', 'ALS1010', 'MD1903', 'GEC1011', 'NUR1113A']","{'MIH1101': 'B-', 'MIH1102': 'B', 'NUR1108C': 'B+', 'NUR1114A': 'A-', 'ALS1010': 'D', 'MD1903': 'B-', 'GEC1011': 'C+', 'NUR1113A': 'F'}"
Jasmine Robinson,A0279549M,XXXXX438Z,3,Computing,Computer Science,,"['CP3108A', 'CS1010E', 'BT1101', 'IS1108', 'IS2238', 'IT2900', 'CS1231R', 'CP3209', 'GEI1000', 'IS1128', 'CS1010R', 'BT2102', 'BT3103', 'CS2030', 'CS2113', 'DMC1401CS', 'CP3880', 'CS3216', 'BT3102', 'CS2100', 'DMC1401IS', 'CS3240', 'CS2040C', 'CS3230']","{'CP3108A': 'B-', 'CS1010E': 'C', 'BT1101': 'A-', 'IS1108': 'B', 'IS2238': 'B-', 'IT2900': 'B-', 'CS1231R': 'B-', 'CP3209': 'A-', 'GEI1000': 'A-', 'IS1128': 'A+', 'CS1010R': 'B-', 'BT2102': 'F', 'BT3103': 'B-', 'CS2030': 'B', 'CS2113': 'A+', 'DMC1401CS': 'F', 'CP3880': 'B', 'CS3216': 'A+', 'BT3102': 'A', 'CS2100': 'A+', 'DMC1401IS': 'A-', 'CS3240': 'B', 'CS2040C': 'B', 'CS3230': 'C+'}"
Allison Bailey,A0263608U,XXXXX835Z,2,Law,Law,,"['LC2009', 'LC2006G', 'LC1001E', 'LC1001G', 'LC1002A', 'LC1025', 'LC2010A', 'LC2013', 'LC1002E', 'LC2006A', 'LC1002J', 'LC1004', 'LC1002H', 'LC1002D', 'LC2004', 'LC2006B']","{'LC2009': 'B', 'LC2006G': 'B+', 'LC1001E': 'B', 'LC1001G': 'A+', 'LC1002A': 'A-', 'LC1025': 'D', 'LC2010A': 'C+', 'LC2013': 'B-', 'LC1002E': 'C+', 'LC2006A': 'B+', 'LC1002J': 'F', 'LC1004': 'B+', 'LC1002H': 'A-', 'LC1002D': 'D', 'LC2004': 'B+', 'LC2006B': 'C+'}"
Jordan Hammond,A0299326U,XXXXX961Z,1,Law,Law,,"['LC1001B', 'LC1025', 'LC1002C', 'LC1003', 'LC1001F', 'LC1001G', 'LC1004', 'LC1002E']","{'LC1001B': 'C', 'LC1025': 'A-', 'LC1002C': 'F', 'LC1003': 'B-', 'LC1001F': 'D', 'LC1001G': 'D', 'LC1004': 'A-', 'LC1002E': 'B+'}"
Samantha Hernandez,A0227716E,XXXXX279Z,1,Arts and Social Science,History,,"['LAM1201', 'ASP1201CH', 'GES1029', 'CL1101E', 'GES1003', 'LAT1201', 'GEX1032', 'GEH1054']","{'LAM1201': 'C+', 'ASP1201CH': 'F', 'GES1029': 'A', 'CL1101E': 'A-', 'GES1003': 'A', 'LAT1201': 'C+', 'GEX1032': 'A-', 'GEH1054': 'B-'}"
Clifford Clark,A0286413B,XXXXX690Z,4,YST Conservatory of Music,Music,,"['MUA1101', 'MUA3221', 'GET1047', 'MUA1111', 'MUH2201', 'MUT1201', 'GEC1014', 'MUA3226', 'MUA3179', 'MUA2255B', 'GEC1023', 'MUA1102', 'MUA4154', 'CFA2210', 'MUA4215', 'MUA1109', 'MUA2240', 'MUT1101', 'MUA1161', 'MUA3213', 'MUA1159', 'MUA3230', 'MUA1154', 'MUA3133', 'GESS1015', 'GEX1022', 'GEH1060', 'MUA3205', 'MUA1188', 'MUA2177', 'MUA3153', 'MUA3181']","{'MUA1101': 'A', 'MUA3221': 'B-', 'GET1047': 'B', 'MUA1111': 'A+', 'MUH2201': 'A+', 'MUT1201': 'C', 'GEC1014': 'C', 'MUA3226': 'A+', 'MUA3179': 'C+', 'MUA2255B': 'A-', 'GEC1023': 'A', 'MUA1102': 'A+', 'MUA4154': 'A-', 'CFA2210': 'F', 'MUA4215': 'F', 'MUA1109': 'B', 'MUA2240': 'A+', 'MUT1101': 'B', 'MUA1161': 'D', 'MUA3213': 'A-', 'MUA1159': 'B-', 'MUA3230': 'C+', 'MUA1154': 'A', 'MUA3133': 'A', 'GESS1015': 'C+', 'GEX1022': 'B+', 'GEH1060': 'A+', 'MUA3205': 'A+', 'MUA1188': 'C', 'MUA2177': 'F', 'MUA3153': 'B-', 'MUA3181': 'A+'}"
Amanda Nelson,A0210695Z,XXXXX587Z,3,Computing,Information Systems,,"['CP3209', 'CP3108B', 'CS1010J', 'CP3209R', 'CP3108A', 'IT2900', 'CP3106', 'CP3201', 'CP3208', 'CS1231R', 'CS2100', 'BT2102', 'CS2040S', 'CP3111', 'CS2113', 'CS3223', 'BT3103', 'CS2106', 'DMC1401IS', 'CS3203', 'CS2220', 'CS2030S', 'CS3216', 'CS2108']","{'CP3209': 'B', 'CP3108B': 'B-', 'CS1010J': 'B+', 'CP3209R': 'C+', 'CP3108A': 'A+', 'IT2900': 'A+', 'CP3106': 'A+', 'CP3201': 'A-', 'CP3208': 'C', 'CS1231R': 'C', 'CS2100': 'D', 'BT2102': 'D', 'CS2040S': 'D', 'CP3111': 'B+', 'CS2113': 'C', 'CS3223': 'B', 'BT3103': 'A-', 'CS2106': 'A-', 'DMC1401IS': 'D', 'CS3203': 'A+', 'CS2220': 'D', 'CS2030S': 'A+', 'CS3216': 'B-', 'CS2108': 'C+'}"
Shannon Bridges,A0292850A,XXXXX675Z,1,Computing,Information Systems,,"['BT1101', 'CS1010R', 'DMC1401IS', 'IT1244', 'GEI1000', 'CS1101S', 'CP1008', 'IS1128']","{'BT1101': 'A', 'CS1010R': 'B+', 'DMC1401IS': 'F', 'IT1244': 'B-', 'GEI1000': 'B-', 'CS1101S': 'B+', 'CP1008': 'A-', 'IS1128': 'C+'}"
Amanda Ruiz,A0262237U,XXXXX314Z,3,Computing,Business Analytics,,"['DMC1401', 'IT2900', 'CP3108B', 'CP3108A', 'IT1244', 'CS1010A', 'CS2107', 'CP3208', 'BT2102', 'IT2002', 'DMC1401CS', 'DMC1401IS', 'CP2106', 'CS2030', 'CS3245R', 'BT3103', 'IS2218', 'CS2103R', 'CS2100', 'CS2113', 'CS2309', 'GEI1000', 'CP3209R', 'CP2201']","{'DMC1401': 'B-', 'IT2900': 'B', 'CP3108B': 'B+', 'CP3108A': 'B', 'IT1244': 'B', 'CS1010A': 'B', 'CS2107': 'C', 'CP3208': 'F', 'BT2102': 'F', 'IT2002': 'C', 'DMC1401CS': 'C+', 'DMC1401IS': 'D', 'CP2106': 'D', 'CS2030': 'B+', 'CS3245R': 'C', 'BT3103': 'B-', 'IS2218': 'B+', 'CS2103R': 'A', 'CS2100': 'A+', 'CS2113': 'C', 'CS2309': 'A', 'GEI1000': 'B', 'CP3209R': 'C', 'CP2201': 'B-'}"
Donald Mccoy,A0233930Z,XXXXX393Z,3,Arts and Social Science,Geography,,"['HS2913', 'MS2211', 'HY2262', 'GE3551R', 'HY3551', 'NM2223', 'JS1101E', 'SE3214', 'JS3223', 'MS2210', 'LAC2202', 'ASP1201HY', 'GESS1003', 'NHS3911EL', 'GEC1049', 'GES1003', 'MS3214', 'PH3230', 'SC2101', 'CH2141', 'UTOA2001PL', 'SC3230', 'HS2920', 'NHS3911EN']","{'HS2913': 'A', 'MS2211': 'F', 'HY2262': 'F', 'GE3551R': 'A+', 'HY3551': 'B-', 'NM2223': 'D', 'JS1101E': 'A+', 'SE3214': 'C', 'JS3223': 'C', 'MS2210': 'D', 'LAC2202': 'F', 'ASP1201HY': 'B+', 'GESS1003': 'A', 'NHS3911EL': 'F', 'GEC1049': 'A-', 'GES1003': 'A-', 'MS3214': 'B-', 'PH3230': 'F', 'SC2101': 'B+', 'CH2141': 'A', 'UTOA2001PL': 'A-', 'SC3230': 'A', 'HS2920': 'B-', 'NHS3911EN': 'B+'}"
David Lopez,A0215458A,XXXXX931Z,1,Law,Law,,"['LC1001B', 'LC1002E', 'LC1001G', 'LC1001F', 'LC1002B', 'LC1002C', 'LC1002H', 'LC1002J']","{'LC1001B': 'B-', 'LC1002E': 'D', 'LC1001G': 'A', 'LC1001F': 'D', 'LC1002B': 'A+', 'LC1002C': 'A+', 'LC1002H': 'B-', 'LC1002J': 'C+'}"
Anthony Martinez,A0216669X,XXXXX455Z,2,Yong Loo Lin Sch of Medicine,Medicine,,"['NUR2500', 'NUR1113A', 'ALS1010', 'NUR2203C', 'MIH1102', 'NUR2204C', 'NUR1114A', 'GEC1011', 'MIH1101', 'MIH2201', 'NUR1107B', 'MIC2000A', 'NUR2113', 'NUR2107B', 'NUR1125', 'NUR2441A']","{'NUR2500': 'A+', 'NUR1113A': 'A-', 'ALS1010': 'A', 'NUR2203C': 'C+', 'MIH1102': 'B+', 'NUR2204C': 'B+', 'NUR1114A': 'B+', 'GEC1011': 'A+', 'MIH1101': 'A', 'MIH2201': 'B', 'NUR1107B': 'A', 'MIC2000A': 'B', 'NUR2113': 'A+', 'NUR2107B': 'B+', 'NUR1125': 'B-', 'NUR2441A': 'B+'}"
Danielle Moran,A0210513A,XXXXX285Z,1,Law,Law,,"['LC1001D', 'LC1002D', 'LC1002G', 'LC1002E', 'LC1016', 'LC1002H', 'LC1001E', 'LC1002J']","{'LC1001D': 'B', 'LC1002D': 'A+', 'LC1002G': 'B-', 'LC1002E': 'D', 'LC1016': 'B', 'LC1002H': 'B', 'LC1001E': 'A-', 'LC1002J': 'B-'}"
Joshua Becker,A0240129L,XXXXX492Z,1,College of Design and Engineering,Computer Engineering,,"['PF1101', 'GES1019', 'EE1111A', 'ID1117', 'GEC1040', 'LAD1001', 'IPM1103', 'ID1119']","{'PF1101': 'A', 'GES1019': 'B+', 'EE1111A': 'A+', 'ID1117': 'B-', 'GEC1040': 'B+', 'LAD1001': 'B-', 'IPM1103': 'B-', 'ID1119': 'D'}"
Robert Johnson,A0272808I,XXXXX603Z,1,Law,Law,,"['LC1001D', 'LC1001G', 'LC1025', 'LC1003', 'LC1002D', 'LC1002H', 'LC1002G', 'LC1002E']","{'LC1001D': 'C', 'LC1001G': 'C+', 'LC1025': 'A', 'LC1003': 'C', 'LC1002D': 'B-', 'LC1002H': 'C', 'LC1002G': 'A+', 'LC1002E': 'C'}"
Terry Reyes,A0238121E,XXXXX516Z,1,Computing,Business Analytics,,"['GEI1000', 'IT1244', 'CS1101S', 'DMC1401', 'DMC1401CS', 'CS1231R', 'DMC1401IS', 'CS1010R']","{'GEI1000': 'B-', 'IT1244': 'C+', 'CS1101S': 'A-', 'DMC1401': 'A-', 'DMC1401CS': 'A', 'CS1231R': 'C', 'DMC1401IS': 'A', 'CS1010R': 'C'}"
Patrick Vargas,A0250032Z,XXXXX827Z,1,Law,Law,,"['LC1002B', 'LC1001C', 'LC1002J', 'LC1002A', 'LC1002E', 'LC1003', 'LC1001E', 'LC1002H']","{'LC1002B': 'A', 'LC1001C': 'B+', 'LC1002J': 'B-', 'LC1002A': 'A-', 'LC1002E': 'B', 'LC1003': 'C+', 'LC1001E': 'B+', 'LC1002H': 'C'}"
Alexandra Walker,A0254143U,XXXXX256Z,1,NUS Business School,Business Administration,,"['MKT1705D', 'DMB1202DAO', 'BSP1702', 'ACC1701B', 'GESS1019', 'DAO1704X', 'DMB1202BSP', 'MKT1705A']","{'MKT1705D': 'B-', 'DMB1202DAO': 'A-', 'BSP1702': 'D', 'ACC1701B': 'B+', 'GESS1019': 'B', 'DAO1704X': 'C', 'DMB1202BSP': 'A-', 'MKT1705A': 'B-'}"
Danielle Martinez,A0295602I,XXXXX647Z,2,Computing,Computer Science,,"['DMC1401IS', 'BT1101', 'CS1231R', 'BT2101', 'DMC1401', 'GEI1000', 'IS2218', 'CS1010R', 'CS1010E', 'CS2100', 'CS2040S', 'IT2002', 'CS2108', 'CS2220', 'CP2106', 'CS2113']","{'DMC1401IS': 'D', 'BT1101': 'F', 'CS1231R': 'B', 'BT2101': 'D', 'DMC1401': 'D', 'GEI1000': 'A-', 'IS2218': 'F', 'CS1010R': 'D', 'CS1010E': 'C', 'CS2100': 'B', 'CS2040S': 'D', 'IT2002': 'A', 'CS2108': 'F', 'CS2220': 'C', 'CP2106': 'F', 'CS2113': 'C+'}"
Andrea Wiley,A0278317Z,XXXXX872Z,3,College of Design and Engineering,Electrical Engineering,,"['BN1111', 'PF2107', 'ID1118', 'CDE2605R', 'ESP3903', 'EE2111A', 'PF3401', 'CE1103', 'PF2505', 'PF2108', 'IE3105', 'PF3210', 'IE3102', 'PF3209', 'CDE2310', 'PF3502', 'BN3202', 'AR2228', 'ESE3101', 'ME3242', 'CDE2502', 'ESP2106', 'EG3611B', 'ID1115']","{'BN1111': 'C+', 'PF2107': 'B-', 'ID1118': 'C+', 'CDE2605R': 'D', 'ESP3903': 'C', 'EE2111A': 'F', 'PF3401': 'D', 'CE1103': 'C', 'PF2505': 'A+', 'PF2108': 'F', 'IE3105': 'F', 'PF3210': 'F', 'IE3102': 'B+', 'PF3209': 'C', 'CDE2310': 'B+', 'PF3502': 'F', 'BN3202': 'C+', 'AR2228': 'C+', 'ESE3101': 'A-', 'ME3242': 'C', 'CDE2502': 'C', 'ESP2106': 'B+', 'EG3611B': 'A+', 'ID1115': 'A'}"
Brandon Nelson,A0291186U,XXXXX579Z,3,Law,Law,,"['LC1001H', 'LC1001F', 'LC1002C', 'LC1016', 'LC2008H', 'LC1001D', 'LC2009', 'LC2013', 'LC2010C', 'LC2017', 'LC2010D', 'LC1002G', 'LC1001E', 'LC1001G', 'LC2010E', 'LC1002I', 'LC1002J', 'LC1002E', 'LC1002H', 'LC1001C', 'LC1025', 'LC2010A', 'LC2004', 'LC1002D']","{'LC1001H': 'B', 'LC1001F': 'A-', 'LC1002C': 'C+', 'LC1016': 'D', 'LC2008H': 'C+', 'LC1001D': 'D', 'LC2009': 'D', 'LC2013': 'C', 'LC2010C': 'A+', 'LC2017': 'A+', 'LC2010D': 'B', 'LC1002G': 'B+', 'LC1001E': 'D', 'LC1001G': 'B', 'LC2010E': 'A', 'LC1002I': 'B+', 'LC1002J': 'B-', 'LC1002E': 'A', 'LC1002H': 'B+', 'LC1001C': 'B+', 'LC1025': 'A-', 'LC2010A': 'C', 'LC2004': 'D', 'LC1002D': 'C'}"
Daniel Chapman,A0259470R,XXXXX705Z,1,Arts and Social Science,Geography,,"['GEH1045', 'GESS1029', 'GES1014', 'GEC1003', 'ASP1201EC', 'GEC1042', 'HS1401A', 'GEX1031']","{'GEH1045': 'A', 'GESS1029': 'A', 'GES1014': 'A', 'GEC1003': 'A-', 'ASP1201EC': 'C+', 'GEC1042': 'B-', 'HS1401A': 'A-', 'GEX1031': 'A+'}"
David Leach,A0234223I,XXXXX752Z,3,Arts and Social Science,Geography,,"['DMA1401PH', 'SC2204', 'GEH1024', 'PS2244', 'TS3551', 'GET1041', 'CH2121', 'NM3551', 'HY2237', 'GESS1035', 'GEC1020', 'HS2908', 'HS2917', 'TS3103', 'SN2261', 'JS2880A', 'HS2913', 'PH2222', 'PS3249', 'ISE3550', 'HY3245', 'SW3551R', 'HS1404A', 'PH2301']","{'DMA1401PH': 'B+', 'SC2204': 'A-', 'GEH1024': 'B-', 'PS2244': 'C+', 'TS3551': 'B', 'GET1041': 'D', 'CH2121': 'C+', 'NM3551': 'B-', 'HY2237': 'F', 'GESS1035': 'A-', 'GEC1020': 'B+', 'HS2908': 'C+', 'HS2917': 'D', 'TS3103': 'C+', 'SN2261': 'D', 'JS2880A': 'B', 'HS2913': 'A-', 'PH2222': 'F', 'PS3249': 'A-', 'ISE3550': 'D', 'HY3245': 'A', 'SW3551R': 'B', 'HS1404A': 'A', 'PH2301': 'B-'}"
Diane Perez,A0288348L,XXXXX633Z,1,Yong Loo Lin Sch of Medicine,Medicine,,"['NUR1202C', 'GEC1011', 'NUR1107B', 'MD1903', 'NUR1114A', 'MIH1101', 'GET1022', 'NUR1124']","{'NUR1202C': 'D', 'GEC1011': 'B+', 'NUR1107B': 'A-', 'MD1903': 'C+', 'NUR1114A': 'A', 'MIH1101': 'C+', 'GET1022': 'A+', 'NUR1124': 'B'}"
Tyler Johnson,A0253807J,XXXXX276Z,4,Law,Law,,"['LL4285V', 'LC1001C', 'LL4483V', 'LL4407', 'LL4150', 'LL4359Z', 'LL4034V', 'LL4522V', 'LL4094GV', 'LL4089V', 'LL4349V', 'LL4519', 'LL4012', 'LL4029AV', 'LL4094CV', 'LL4308V', 'LC1002J', 'LL4322', 'LL4277V', 'LL4008AV', 'LL4461V', 'LL4203', 'LL4489V', 'LL4219', 'LL4054', 'LL4518', 'LL4342V', 'LL4073V', 'LC2008H', 'LL4396', 'LL4309V', 'LL4482V']","{'LL4285V': 'F', 'LC1001C': 'A-', 'LL4483V': 'A-', 'LL4407': 'B', 'LL4150': 'A+', 'LL4359Z': 'D', 'LL4034V': 'C+', 'LL4522V': 'C', 'LL4094GV': 'B+', 'LL4089V': 'C', 'LL4349V': 'A+', 'LL4519': 'F', 'LL4012': 'C', 'LL4029AV': 'A+', 'LL4094CV': 'B+', 'LL4308V': 'D', 'LC1002J': 'B-', 'LL4322': 'B', 'LL4277V': 'C', 'LL4008AV': 'D', 'LL4461V': 'B-', 'LL4203': 'F', 'LL4489V': 'A', 'LL4219': 'C+', 'LL4054': 'F', 'LL4518': 'B-', 'LL4342V': 'A+', 'LL4073V': 'A', 'LC2008H': 'F', 'LL4396': 'A', 'LL4309V': 'D', 'LL4482V': 'C+'}"
Austin Anderson,A0241414H,XXXXX534Z,2,YST Conservatory of Music,Music,,"['MUA1165', 'MUA2205', 'MUA1240', 'GEX1027', 'MUA2154', 'MUA1101', 'GET1040', 'MUA1192', 'MUL2109', 'GESS1015', 'CFA1111B', 'GEC1023', 'MUA2110', 'MUL1105', 'MUA1161', 'CFA1101A']","{'MUA1165': 'B-', 'MUA2205': 'B+', 'MUA1240': 'B', 'GEX1027': 'A+', 'MUA2154': 'C+', 'MUA1101': 'A-', 'GET1040': 'C', 'MUA1192': 'A', 'MUL2109': 'C+', 'GESS1015': 'A', 'CFA1111B': 'B-', 'GEC1023': 'A+', 'MUA2110': 'B+', 'MUL1105': 'A-', 'MUA1161': 'A', 'CFA1101A': 'B-'}"
Mercedes Hudson,A0264255N,XXXXX923Z,1,Computing,Information Systems,,"['CS1231R', 'DMC1401IS', 'CS1010', 'IT1244', 'DMC1401CS', 'IS1128', 'CP1008', 'CS1010R']","{'CS1231R': 'A', 'DMC1401IS': 'D', 'CS1010': 'A+', 'IT1244': 'A', 'DMC1401CS': 'B', 'IS1128': 'A-', 'CP1008': 'B-', 'CS1010R': 'C'}"
Christopher Evans,A0207268R,XXXXX515Z,4,Law,Law,,"['LL4383Z', 'LL4516', 'LC1002F', 'LL4063V', 'LC1002D', 'LC1001B', 'LL4450V', 'LL4518', 'LL4360Z', 'LL4292V', 'LL4190', 'LL4244V', 'LL4094BV', 'LL4522V', 'LL4405A', 'LL4489V', 'LL4434V', 'LL4503', 'LC2017', 'LC2008H', 'LL4177V', 'LL4021V', 'LL4452V', 'LL4034V', 'LL4327V', 'LL4188V', 'LL4436V', 'LL4150', 'LL4438V', 'LL4519', 'LL4357V', 'LL4033V']","{'LL4383Z': 'B+', 'LL4516': 'F', 'LC1002F': 'B', 'LL4063V': 'A', 'LC1002D': 'C+', 'LC1001B': 'F', 'LL4450V': 'B', 'LL4518': 'A', 'LL4360Z': 'A-', 'LL4292V': 'B-', 'LL4190': 'B', 'LL4244V': 'A-', 'LL4094BV': 'D', 'LL4522V': 'C+', 'LL4405A': 'A', 'LL4489V': 'D', 'LL4434V': 'B-', 'LL4503': 'C', 'LC2017': 'C', 'LC2008H': 'A-', 'LL4177V': 'F', 'LL4021V': 'D', 'LL4452V': 'B+', 'LL4034V': 'B', 'LL4327V': 'C+', 'LL4188V': 'B+', 'LL4436V': 'B+', 'LL4150': 'B', 'LL4438V': 'F', 'LL4519': 'B', 'LL4357V': 'C', 'LL4033V': 'A+'}"
Barbara Gonzalez,A0287774U,XXXXX452Z,2,YST Conservatory of Music,Music,,"['GEH1060', 'MUH1101', 'MUL2109', 'MUL2107', 'MUA1170', 'CFA1101A', 'MUL2110', 'MUH2201', 'MUA1116', 'GEC1014', 'MUA1172', 'MUA2256', 'MUL1105', 'CFA1111A', 'MUA1165', 'GET1019']","{'GEH1060': 'B+', 'MUH1101': 'B-', 'MUL2109': 'A+', 'MUL2107': 'A+', 'MUA1170': 'B-', 'CFA1101A': 'A+', 'MUL2110': 'D', 'MUH2201': 'A+', 'MUA1116': 'C+', 'GEC1014': 'C+', 'MUA1172': 'C+', 'MUA2256': 'A-', 'MUL1105': 'A-', 'CFA1111A': 'A-', 'MUA1165': 'B', 'GET1019': 'A-'}"
Ariana Robinson,A0281960X,XXXXX535Z,1,Law,Law,,"['LC1002B', 'LC1001E', 'LC1001H', 'LC1002A', 'LC1025', 'LC1002C', 'LC1002E', 'LC1002J']","{'LC1002B': 'B-', 'LC1001E': 'B-', 'LC1001H': 'F', 'LC1002A': 'F', 'LC1025': 'D', 'LC1002C': 'D', 'LC1002E': 'C', 'LC1002J': 'A'}"
Nicole Davis,A0279884E,XXXXX797Z,4,Yong Loo Lin Sch of Medicine,Nursing,,"['NUR3503', 'MD3140E', 'NUR2441A', 'NUR1125', 'NUR1114A', 'NUR4104B', 'MD1902', 'NUR2501', 'MIH2202', 'NUR4103B', 'NUR2203C', 'NUR1123', 'NUR3116C', 'MIH3201', 'HS2924', 'ALS1010', 'GEC1011', 'NUR4102B', 'NUR1113A', 'NUR3502', 'NUR2106B', 'NUR3114', 'NUR3204C', 'NUR3506', 'NUR1124', 'MD1903', 'NUR3504', 'GET1022', 'NUR3500', 'NUR3105C', 'NUR2204C', 'NUR3507']","{'NUR3503': 'A', 'MD3140E': 'A', 'NUR2441A': 'F', 'NUR1125': 'B-', 'NUR1114A': 'C', 'NUR4104B': 'C+', 'MD1902': 'B-', 'NUR2501': 'B', 'MIH2202': 'C', 'NUR4103B': 'C+', 'NUR2203C': 'A+', 'NUR1123': 'B+', 'NUR3116C': 'F', 'MIH3201': 'F', 'HS2924': 'A+', 'ALS1010': 'C+', 'GEC1011': 'D', 'NUR4102B': 'B', 'NUR1113A': 'D', 'NUR3502': 'D', 'NUR2106B': 'C', 'NUR3114': 'D', 'NUR3204C': 'B-', 'NUR3506': 'B', 'NUR1124': 'A+', 'MD1903': 'B-', 'NUR3504': 'B', 'GET1022': 'B+', 'NUR3500': 'A-', 'NUR3105C': 'D', 'NUR2204C': 'D', 'NUR3507': 'A-'}"
Monica Henderson,A0257113B,XXXXX751Z,2,YST Conservatory of Music,Music,,"['MUA2256', 'MUA2255A', 'MUH2204', 'MUA1153', 'MUL2107', 'MUA2205', 'CFA2210', 'MUH1101', 'MUA1116', 'MUA2230', 'MUA1196', 'MUA1165', 'MUA1163', 'GEC1014', 'MUA2109', 'MUL2109']","{'MUA2256': 'D', 'MUA2255A': 'A-', 'MUH2204': 'A', 'MUA1153': 'B+', 'MUL2107': 'A', 'MUA2205': 'C', 'CFA2210': 'B', 'MUH1101': 'D', 'MUA1116': 'C+', 'MUA2230': 'A+', 'MUA1196': 'A', 'MUA1165': 'D', 'MUA1163': 'A+', 'GEC1014': 'A-', 'MUA2109': 'B', 'MUL2109': 'C'}"
Elizabeth Johnson,A0256156L,XXXXX741Z,2,Yong Loo Lin Sch of Medicine,Medicine,,"['NUR2107B', 'GET1022', 'MIH1101', 'NUR1113A', 'NUR2503', 'MIH2201', 'NUR2501', 'HS2924', 'MIH1102', 'NUR1125', 'NUR1107B', 'NUR1202C', 'MD1903', 'NUR2125', 'MD1902', 'NUR2106B']","{'NUR2107B': 'A', 'GET1022': 'A+', 'MIH1101': 'B+', 'NUR1113A': 'A+', 'NUR2503': 'F', 'MIH2201': 'C+', 'NUR2501': 'B', 'HS2924': 'B-', 'MIH1102': 'B+', 'NUR1125': 'A', 'NUR1107B': 'F', 'NUR1202C': 'B', 'MD1903': 'A-', 'NUR2125': 'D', 'MD1902': 'B+', 'NUR2106B': 'A-'}"
Andrea Nixon,A0227801N,XXXXX659Z,1,YST Conservatory of Music,Music,,"['MUA1101', 'GET1040', 'GET1019', 'MUH1101', 'MUA1161', 'GET1047', 'MUA1154', 'MUA1170']","{'MUA1101': 'B-', 'GET1040': 'A', 'GET1019': 'F', 'MUH1101': 'A', 'MUA1161': 'B', 'GET1047': 'C+', 'MUA1154': 'F', 'MUA1170': 'D'}"
