Subject,Predicate,Object,Predicate2,Object2
Susan Evans,takes_module,GET1026,and_scored,C+
Susan Evans,takes_module,GEC1018,and_scored,B
Susan Evans,takes_module,CL1101E,and_scored,A-
Susan Evans,takes_module,SC1101E,and_scored,C+
Susan Evans,takes_module,GEC1004,and_scored,C
Susan Evans,takes_module,GEH1022,and_scored,A+
Chad Stanley,takes_module,LL4021V,and_scored,A+
Chad Stanley,takes_module,LL4527V,and_scored,B+
Chad Stanley,takes_module,LL4518,and_scored,B+
Chad Stanley,takes_module,LL4049V,and_scored,A-
Chad Stanley,takes_module,LL4367V,and_scored,B+
Chad Stanley,takes_module,LL4094V,and_scored,C
Chad Stanley,takes_module,LL4396,and_scored,B-
Chad Stanley,takes_module,LL4412,and_scored,B-
Chad Stanley,takes_module,LC2010H,and_scored,A
Chad Stanley,takes_module,LL4029V,and_scored,B+
Chad Stanley,takes_module,LL4094AV,and_scored,F
Chad Stanley,takes_module,LC1001E,and_scored,C+
Chad Stanley,takes_module,LL4034V,and_scored,D
Chad Stanley,takes_module,LL4094FV,and_scored,F
Chad Stanley,takes_module,LL4359Z,and_scored,C+
Chad Stanley,takes_module,LL4483V,and_scored,C
Chad Stanley,takes_module,LL4438V,and_scored,F
Chad Stanley,takes_module,LL4043,and_scored,F
Chad Stanley,takes_module,LL4276V,and_scored,C+
Chad Stanley,takes_module,LL4327V,and_scored,F
Chad Stanley,takes_module,LL4045V,and_scored,A-
Chad Stanley,takes_module,LL4094EV,and_scored,B
Chad Stanley,takes_module,LL4140V,and_scored,B
Chad Stanley,takes_module,LL4514V,and_scored,B
Chad Stanley,takes_module,LL4452V,and_scored,D
Chad Stanley,takes_module,LC1003,and_scored,B
Chad Stanley,takes_module,LL4364V,and_scored,C
Chad Stanley,takes_module,LL4111V,and_scored,C+
Chad Stanley,takes_module,LL4290V,and_scored,F
Chad Stanley,takes_module,LL4070V,and_scored,B
Chad Stanley,takes_module,LC1002G,and_scored,D
Chad Stanley,takes_module,LL4475V,and_scored,D
William Miller,takes_module,BN2301,and_scored,B
William Miller,takes_module,CDE2503,and_scored,A
William Miller,takes_module,LAD4007,and_scored,A+
William Miller,takes_module,EE3105,and_scored,B-
William Miller,takes_module,IPM2101,and_scored,B
William Miller,takes_module,EG3611A,and_scored,D
William Miller,takes_module,EE4501,and_scored,C+
William Miller,takes_module,CN2105,and_scored,B-
William Miller,takes_module,PF1107,and_scored,D
William Miller,takes_module,LAD2007,and_scored,B+
William Miller,takes_module,CDE2501,and_scored,B+
William Miller,takes_module,GESS1014,and_scored,C
William Miller,takes_module,IPM1103,and_scored,D
William Miller,takes_module,ESE4501R,and_scored,C
William Miller,takes_module,ESE3201,and_scored,C
William Miller,takes_module,ESE4502N,and_scored,B-
William Miller,takes_module,UTOD2001,and_scored,C
William Miller,takes_module,CE2409,and_scored,B+
William Miller,takes_module,PF3207,and_scored,C
William Miller,takes_module,CDE4501A,and_scored,D
William Miller,takes_module,PF4213,and_scored,A+
William Miller,takes_module,BN3101A,and_scored,B-
William Miller,takes_module,MLE2105,and_scored,A+
William Miller,takes_module,AR2522,and_scored,B
William Miller,takes_module,ME3281,and_scored,C+
William Miller,takes_module,ID2114,and_scored,D
William Miller,takes_module,CE1103,and_scored,C
William Miller,takes_module,BN4203,and_scored,F
William Miller,takes_module,ID4122,and_scored,A-
William Miller,takes_module,BN3301,and_scored,C+
William Miller,takes_module,ID3129,and_scored,C+
William Miller,takes_module,EE4001,and_scored,C
Joseph Martinez,takes_module,DMS1401CM,and_scored,B-
Joseph Martinez,takes_module,HS1502,and_scored,C
Joseph Martinez,takes_module,GESS1016,and_scored,A
Joseph Martinez,takes_module,PR1152,and_scored,D
Joseph Martinez,takes_module,CM1417,and_scored,F
Joseph Martinez,takes_module,GEX1007,and_scored,B
Joseph Martinez,takes_module,PC1201,and_scored,A-
Joseph Martinez,takes_module,HS1404S,and_scored,F
Sheila Salazar,takes_module,PF3307,and_scored,A-
Sheila Salazar,takes_module,UTOD2002,and_scored,A
Sheila Salazar,takes_module,AR2328,and_scored,C
Sheila Salazar,takes_module,BN4102,and_scored,B+
Sheila Salazar,takes_module,PF4101,and_scored,B-
Sheila Salazar,takes_module,MLE2103A,and_scored,C
Sheila Salazar,takes_module,LAD4007,and_scored,C
Sheila Salazar,takes_module,GES1013,and_scored,B
Sheila Salazar,takes_module,CE2134,and_scored,D
Sheila Salazar,takes_module,LAD4010,and_scored,F
Sheila Salazar,takes_module,CE2409,and_scored,B+
Sheila Salazar,takes_module,IPM2104,and_scored,B+
Sheila Salazar,takes_module,LAD2004,and_scored,D
Sheila Salazar,takes_module,EE1111A,and_scored,B+
Sheila Salazar,takes_module,PF3301,and_scored,C+
Sheila Salazar,takes_module,LAD4006,and_scored,F
Sheila Salazar,takes_module,ME4248,and_scored,C
Sheila Salazar,takes_module,EG1611,and_scored,A+
Sheila Salazar,takes_module,AR2228,and_scored,B+
Sheila Salazar,takes_module,XFE4401,and_scored,B
Sheila Salazar,takes_module,PF3208,and_scored,B
Sheila Salazar,takes_module,CDE2212,and_scored,B-
Sheila Salazar,takes_module,BN4303,and_scored,D
Sheila Salazar,takes_module,MLE2105,and_scored,B
Sheila Salazar,takes_module,PF3105,and_scored,C
Sheila Salazar,takes_module,ME3242,and_scored,B-
Sheila Salazar,takes_module,ESE3201,and_scored,A+
Sheila Salazar,takes_module,AR1101,and_scored,C+
Sheila Salazar,takes_module,CDE2501,and_scored,B-
Sheila Salazar,takes_module,CE4001,and_scored,A
Sheila Salazar,takes_module,ID3111,and_scored,D
Sheila Salazar,takes_module,EE4032,and_scored,B-
Tara Hoffman,takes_module,EG1611,and_scored,B
Tara Hoffman,takes_module,ID1114,and_scored,B
Tara Hoffman,takes_module,LAD1001,and_scored,C
Tara Hoffman,takes_module,CE1103,and_scored,A+
Tara Hoffman,takes_module,LAD1004,and_scored,B+
Tara Hoffman,takes_module,GES1019,and_scored,B-
Tara Hoffman,takes_module,ID1115,and_scored,A
Tara Hoffman,takes_module,EG1311,and_scored,B
Janet Rivas,takes_module,QF3312,and_scored,C
Janet Rivas,takes_module,PC3289,and_scored,B-
Janet Rivas,takes_module,QF2310,and_scored,B
Janet Rivas,takes_module,PC2312,and_scored,A-
Janet Rivas,takes_module,ST3288,and_scored,F
Janet Rivas,takes_module,COS1000,and_scored,B
Janet Rivas,takes_module,PC1201,and_scored,B
Janet Rivas,takes_module,CM2313,and_scored,B-
Janet Rivas,takes_module,GESS1016,and_scored,F
Janet Rivas,takes_module,CM3313,and_scored,A+
Janet Rivas,takes_module,HS1501,and_scored,C
Janet Rivas,takes_module,HS2915,and_scored,C+
Janet Rivas,takes_module,PC2411,and_scored,A
Janet Rivas,takes_module,GES1021,and_scored,C
Janet Rivas,takes_module,ENV3289,and_scored,D
Janet Rivas,takes_module,CM3310,and_scored,C
Janet Rivas,takes_module,UTOS2201,and_scored,B+
Janet Rivas,takes_module,UTOS2201R,and_scored,A-
Janet Rivas,takes_module,UTOS2201F,and_scored,A+
Janet Rivas,takes_module,PR3313,and_scored,F
Janet Rivas,takes_module,HS1401S,and_scored,B
Janet Rivas,takes_module,PC3289A,and_scored,A+
Janet Rivas,takes_module,MA1301,and_scored,C
Janet Rivas,takes_module,PR1154,and_scored,C+
Omar Flores,takes_module,LC1025,and_scored,A+
Omar Flores,takes_module,LC1002G,and_scored,A-
Omar Flores,takes_module,LC1002F,and_scored,B-
Omar Flores,takes_module,LC1016,and_scored,B-
Omar Flores,takes_module,LC1002A,and_scored,B-
Omar Flores,takes_module,LC1002D,and_scored,B
Omar Flores,takes_module,LC1001B,and_scored,B
Omar Flores,takes_module,LC1001F,and_scored,A-
Scott Wright,takes_module,XFC4101,and_scored,B
Scott Wright,takes_module,CP3111,and_scored,A-
Scott Wright,takes_module,CS1101S,and_scored,A
Scott Wright,takes_module,CP3209,and_scored,F
Scott Wright,takes_module,BT4013,and_scored,F
Scott Wright,takes_module,IS2218,and_scored,B+
Scott Wright,takes_module,IS2238,and_scored,B+
Scott Wright,takes_module,IS1108,and_scored,D
Scott Wright,takes_module,CP3108B,and_scored,F
Scott Wright,takes_module,CS1010R,and_scored,A-
Scott Wright,takes_module,CS2107,and_scored,B+
Scott Wright,takes_module,BT4101,and_scored,C+
Scott Wright,takes_module,IS3251,and_scored,C+
Scott Wright,takes_module,CS4236,and_scored,C
Scott Wright,takes_module,IS4010,and_scored,C
Scott Wright,takes_module,IFS4101,and_scored,C+
Scott Wright,takes_module,IT2900,and_scored,C+
Scott Wright,takes_module,BT2102,and_scored,B+
Scott Wright,takes_module,CS3236R,and_scored,B-
Scott Wright,takes_module,IS4303,and_scored,A
Scott Wright,takes_module,CS2040C,and_scored,A
Scott Wright,takes_module,DMC1401,and_scored,D
Scott Wright,takes_module,CS3245R,and_scored,B-
Scott Wright,takes_module,CS2030,and_scored,B-
Scott Wright,takes_module,IS4100,and_scored,C
Scott Wright,takes_module,IS4250,and_scored,D
Scott Wright,takes_module,IS3107,and_scored,C+
Scott Wright,takes_module,IS4231,and_scored,C
Scott Wright,takes_module,IT2002,and_scored,A+
Scott Wright,takes_module,CS3230,and_scored,D
Scott Wright,takes_module,CS4215,and_scored,A
Scott Wright,takes_module,CS3281,and_scored,C
Samantha Wyatt,takes_module,GES1009,and_scored,C
Samantha Wyatt,takes_module,GESS1020,and_scored,D
Samantha Wyatt,takes_module,GEC1031,and_scored,C+
Samantha Wyatt,takes_module,GEX1032,and_scored,C
Samantha Wyatt,takes_module,GEH1009,and_scored,B
Samantha Wyatt,takes_module,GET1050,and_scored,B
Samantha Wyatt,takes_module,GL1101E,and_scored,F
Samantha Wyatt,takes_module,HS1401A,and_scored,C+
Laura Wise,takes_module,CFA1101A,and_scored,A
Laura Wise,takes_module,MUT1102,and_scored,C+
Laura Wise,takes_module,GESS1015,and_scored,B+
Laura Wise,takes_module,MUL1105,and_scored,C
Laura Wise,takes_module,MUH1101,and_scored,C+
Laura Wise,takes_module,MUA1111,and_scored,B+
Laura Wise,takes_module,CFA1101B,and_scored,C+
Laura Wise,takes_module,MUA1109,and_scored,C
Alison Barnett,takes_module,NUR1113A,and_scored,A
Alison Barnett,takes_module,NUR1107B,and_scored,A-
Alison Barnett,takes_module,MIH2201,and_scored,C
Alison Barnett,takes_module,NUR3503,and_scored,C+
Alison Barnett,takes_module,NUR3502,and_scored,B+
Alison Barnett,takes_module,NUR3119,and_scored,A-
Alison Barnett,takes_module,NUR2503,and_scored,A-
Alison Barnett,takes_module,NUR3205D,and_scored,C
Alison Barnett,takes_module,NUR2502,and_scored,A+
Alison Barnett,takes_module,NUR2204C,and_scored,C
Alison Barnett,takes_module,NUR1123,and_scored,B-
Alison Barnett,takes_module,NUR3116B,and_scored,A
Alison Barnett,takes_module,NUR2107B,and_scored,B
Alison Barnett,takes_module,MD1902,and_scored,B-
Alison Barnett,takes_module,MIH1101,and_scored,A
Alison Barnett,takes_module,MD3140T,and_scored,A
Alison Barnett,takes_module,MIH3201,and_scored,A
Alison Barnett,takes_module,NUR1202C,and_scored,B
Alison Barnett,takes_module,NUR3106B,and_scored,A+
Alison Barnett,takes_module,NUR2441A,and_scored,A+
Alison Barnett,takes_module,NUR1125,and_scored,B+
Alison Barnett,takes_module,ALS1010,and_scored,A-
Alison Barnett,takes_module,MD1903,and_scored,D
Alison Barnett,takes_module,NUR3117A,and_scored,B-
Shirley Anthony,takes_module,FIN3751,and_scored,C
Shirley Anthony,takes_module,BI3003,and_scored,C+
Shirley Anthony,takes_module,DMB1204BSP,and_scored,A
Shirley Anthony,takes_module,BIS3001,and_scored,D
Shirley Anthony,takes_module,RE2705,and_scored,A
Shirley Anthony,takes_module,DMB1203BSP,and_scored,D
Shirley Anthony,takes_module,ACC1701B,and_scored,A+
Shirley Anthony,takes_module,BI3708R,and_scored,B+
Shirley Anthony,takes_module,DMB1204MNO,and_scored,D
Shirley Anthony,takes_module,BSN3713,and_scored,F
Shirley Anthony,takes_module,BI3003D,and_scored,A+
Shirley Anthony,takes_module,DMB1203DO,and_scored,B-
Shirley Anthony,takes_module,DMB1203MKT,and_scored,B+
Shirley Anthony,takes_module,MNO1706C,and_scored,C
Shirley Anthony,takes_module,BI3712B,and_scored,B
Shirley Anthony,takes_module,BLD3004,and_scored,B
Shirley Anthony,takes_module,BSN3702,and_scored,A+
Shirley Anthony,takes_module,RE1702,and_scored,D
Shirley Anthony,takes_module,BSN3703,and_scored,F
Shirley Anthony,takes_module,RE2801,and_scored,D
Shirley Anthony,takes_module,DBA3751,and_scored,A+
Shirley Anthony,takes_module,BSP1703,and_scored,C+
Shirley Anthony,takes_module,BSN3701,and_scored,C+
Shirley Anthony,takes_module,BSP3701C,and_scored,B-
Eric Graves,takes_module,ENV3288,and_scored,C
Eric Graves,takes_module,SP2273,and_scored,A+
Eric Graves,takes_module,ENV2102,and_scored,B
Eric Graves,takes_module,GET1020,and_scored,A
Eric Graves,takes_module,SP2201,and_scored,F
Eric Graves,takes_module,UTOS2001C,and_scored,C+
Eric Graves,takes_module,GESS1016,and_scored,B-
Eric Graves,takes_module,MA4199,and_scored,D
Eric Graves,takes_module,MA3312,and_scored,A
Eric Graves,takes_module,XFS4199M,and_scored,C+
Eric Graves,takes_module,HS1502,and_scored,A
Eric Graves,takes_module,UTOS2002,and_scored,B
Eric Graves,takes_module,ST3310,and_scored,B-
Eric Graves,takes_module,UTOS2001R,and_scored,B-
Eric Graves,takes_module,ST2313,and_scored,C+
Eric Graves,takes_module,PC3289A,and_scored,A
Eric Graves,takes_module,DMS1401SP,and_scored,B+
Eric Graves,takes_module,PR1152,and_scored,C
Eric Graves,takes_module,UTOS2002R,and_scored,A-
Eric Graves,takes_module,PR1153,and_scored,C
Eric Graves,takes_module,MA3289,and_scored,B+
Eric Graves,takes_module,PC4288Q,and_scored,B
Eric Graves,takes_module,FDP2021,and_scored,D
Eric Graves,takes_module,LSM1303,and_scored,A
Eric Graves,takes_module,DMS1401CM,and_scored,A-
Eric Graves,takes_module,PR2152,and_scored,B-
Eric Graves,takes_module,UTOS2201S,and_scored,F
Eric Graves,takes_module,SP3275,and_scored,A+
Eric Graves,takes_module,PHS4312,and_scored,A-
Eric Graves,takes_module,UTOS2001,and_scored,C
Eric Graves,takes_module,MA4198,and_scored,A-
Eric Graves,takes_module,PR2155,and_scored,A-
James French,takes_module,MUA1107,and_scored,B
James French,takes_module,MUA3230,and_scored,B
James French,takes_module,MUA1159,and_scored,C+
James French,takes_module,MUT1201,and_scored,A-
James French,takes_module,MUA3115,and_scored,A-
James French,takes_module,MUA2177,and_scored,B-
James French,takes_module,GEC1014,and_scored,A
James French,takes_module,MUT3216,and_scored,D
James French,takes_module,MUA4172,and_scored,C+
James French,takes_module,MUL2107,and_scored,F
James French,takes_module,MUA1116,and_scored,C+
James French,takes_module,MUA2172,and_scored,F
James French,takes_module,MUH1101,and_scored,B+
James French,takes_module,MUA2204,and_scored,A-
James French,takes_module,MUA4153,and_scored,B
James French,takes_module,MUT3222,and_scored,A-
James French,takes_module,MUA3117,and_scored,B+
James French,takes_module,MUA3194,and_scored,A-
James French,takes_module,MUA3260,and_scored,A
James French,takes_module,MUA2255,and_scored,C
James French,takes_module,MUA4175,and_scored,A+
James French,takes_module,MUA1196,and_scored,A
James French,takes_module,MUL2109,and_scored,F
James French,takes_module,MUA1161,and_scored,F
James French,takes_module,MUA2154,and_scored,A-
James French,takes_module,MUT1101,and_scored,C+
James French,takes_module,MUA3221,and_scored,B
James French,takes_module,MUA3113,and_scored,C
James French,takes_module,MUA3224,and_scored,A
James French,takes_module,GET1040,and_scored,C+
James French,takes_module,MUA1108,and_scored,A+
James French,takes_module,MUA3271,and_scored,C+
Jacob White,takes_module,MUA1192,and_scored,B
Jacob White,takes_module,CFA1101B,and_scored,B+
Jacob White,takes_module,GET1019,and_scored,F
Jacob White,takes_module,MUT1102,and_scored,C
Jacob White,takes_module,GEX1022,and_scored,C
Jacob White,takes_module,MUA1111,and_scored,B+
Jacob White,takes_module,GESS1015,and_scored,B+
Jacob White,takes_module,MUA2177,and_scored,C
Jacob White,takes_module,MUA2256,and_scored,C+
Jacob White,takes_module,GEC1014,and_scored,B-
Jacob White,takes_module,MUA2153,and_scored,A+
Jacob White,takes_module,CFA1111B,and_scored,C
Jacob White,takes_module,MUL2107,and_scored,D
Jacob White,takes_module,GEH1060,and_scored,B+
Jacob White,takes_module,MUA2110,and_scored,C
Jacob White,takes_module,GET1040,and_scored,B
Lisa Becker,takes_module,GEX1011,and_scored,A-
Lisa Becker,takes_module,SC1101E,and_scored,C+
Lisa Becker,takes_module,GEC1048,and_scored,C+
Lisa Becker,takes_module,ASP1201CH,and_scored,F
Lisa Becker,takes_module,GESS1004,and_scored,C
Lisa Becker,takes_module,DMA1401PH,and_scored,A
Lisa Becker,takes_module,GES1029,and_scored,A+
Lisa Becker,takes_module,GEC1050,and_scored,C
Benjamin Williams,takes_module,QF3310,and_scored,A+
Benjamin Williams,takes_module,PC2239,and_scored,B-
Benjamin Williams,takes_module,SP2201,and_scored,B-
Benjamin Williams,takes_module,ENV3289R,and_scored,A
Benjamin Williams,takes_module,UTOS2001,and_scored,B
Benjamin Williams,takes_module,HS2916,and_scored,F
Benjamin Williams,takes_module,ENV3288R,and_scored,B
Benjamin Williams,takes_module,FDP2021,and_scored,F
Benjamin Williams,takes_module,PR3313,and_scored,A
Benjamin Williams,takes_module,UTOS2201S,and_scored,C
Benjamin Williams,takes_module,MA2310,and_scored,B+
Benjamin Williams,takes_module,FST2313,and_scored,A+
Benjamin Williams,takes_module,UTOS2002M,and_scored,A
Benjamin Williams,takes_module,GEH1050,and_scored,B-
Benjamin Williams,takes_module,GEX1007,and_scored,F
Benjamin Williams,takes_module,PHS2312,and_scored,A+
Benjamin Williams,takes_module,UTOS2201F,and_scored,C+
Benjamin Williams,takes_module,LSM1303,and_scored,A-
Benjamin Williams,takes_module,PC3239,and_scored,D
Benjamin Williams,takes_module,FST3181,and_scored,A
Benjamin Williams,takes_module,PC2411,and_scored,A
Benjamin Williams,takes_module,UTOS2001B,and_scored,C+
Benjamin Williams,takes_module,HS1502,and_scored,A
Benjamin Williams,takes_module,UTOS2001S,and_scored,D
Nicole Medina,takes_module,ZB4299,and_scored,C+
Nicole Medina,takes_module,FDP2021,and_scored,B
Nicole Medina,takes_module,FST3287,and_scored,C+
Nicole Medina,takes_module,QF3310,and_scored,F
Nicole Medina,takes_module,SP2201,and_scored,B
Nicole Medina,takes_module,PR1152,and_scored,B-
Nicole Medina,takes_module,FST3288,and_scored,A+
Nicole Medina,takes_module,ST4199,and_scored,A
Nicole Medina,takes_module,UTOS2002R,and_scored,C
Nicole Medina,takes_module,HS2904,and_scored,A
Nicole Medina,takes_module,UTOS2001P,and_scored,B
Nicole Medina,takes_module,QF3311,and_scored,B+
Nicole Medina,takes_module,PR2156,and_scored,B+
Nicole Medina,takes_module,HS1402S,and_scored,C+
Nicole Medina,takes_module,DSA4312,and_scored,B
Nicole Medina,takes_module,PC2411,and_scored,B-
Nicole Medina,takes_module,UTOS2201S,and_scored,A-
Nicole Medina,takes_module,CM3313,and_scored,B-
Nicole Medina,takes_module,PC4199,and_scored,B
Nicole Medina,takes_module,ENV3101,and_scored,C
Nicole Medina,takes_module,CM2312,and_scored,B
Nicole Medina,takes_module,PR1153,and_scored,C+
Nicole Medina,takes_module,FDP2022,and_scored,B
Nicole Medina,takes_module,ENV3202A,and_scored,F
Nicole Medina,takes_module,UTOS2201B,and_scored,B
Nicole Medina,takes_module,LSM3288R,and_scored,B+
Nicole Medina,takes_module,FST2204,and_scored,A-
Nicole Medina,takes_module,ENV2103,and_scored,D
Nicole Medina,takes_module,MA2310,and_scored,C
Nicole Medina,takes_module,HS1404S,and_scored,F
Nicole Medina,takes_module,PR3151,and_scored,C
Nicole Medina,takes_module,CM4299,and_scored,B
Brittany Casey,takes_module,LC2010H,and_scored,C
Brittany Casey,takes_module,LC1001C,and_scored,A+
Brittany Casey,takes_module,LC2010G,and_scored,B
Brittany Casey,takes_module,LC1002G,and_scored,C+
Brittany Casey,takes_module,LC1001G,and_scored,A-
Brittany Casey,takes_module,LC1001B,and_scored,F
Brittany Casey,takes_module,LC1002C,and_scored,B+
Brittany Casey,takes_module,LC1002F,and_scored,B+
Brittany Casey,takes_module,LC1004,and_scored,A
Brittany Casey,takes_module,LC2004,and_scored,F
Brittany Casey,takes_module,LC2006G,and_scored,F
Brittany Casey,takes_module,LC1002B,and_scored,F
Brittany Casey,takes_module,LC2010B,and_scored,A
Brittany Casey,takes_module,LC2006F,and_scored,F
Brittany Casey,takes_module,LC1016,and_scored,B-
Brittany Casey,takes_module,LC1001E,and_scored,C
Brittany Casey,takes_module,LC2006B,and_scored,D
Brittany Casey,takes_module,LC1001D,and_scored,A+
Brittany Casey,takes_module,LC2008H,and_scored,F
Brittany Casey,takes_module,LC2010C,and_scored,B+
Brittany Casey,takes_module,LC1002E,and_scored,A-
Brittany Casey,takes_module,LC2006A,and_scored,B-
Brittany Casey,takes_module,LC1002I,and_scored,A-
Brittany Casey,takes_module,LC1001F,and_scored,C
Donald Jacobs,takes_module,MUA1154,and_scored,B
Donald Jacobs,takes_module,MUA1190,and_scored,B
Donald Jacobs,takes_module,MUA3154,and_scored,C
Donald Jacobs,takes_module,MUA1116,and_scored,C+
Donald Jacobs,takes_module,MUA2255A,and_scored,C
Donald Jacobs,takes_module,GESS1015,and_scored,A
Donald Jacobs,takes_module,GEC1014,and_scored,C+
Donald Jacobs,takes_module,MUA2256A,and_scored,B-
Donald Jacobs,takes_module,MUA1223,and_scored,B+
Donald Jacobs,takes_module,MUA1163,and_scored,A-
Donald Jacobs,takes_module,GEX1027,and_scored,D
Donald Jacobs,takes_module,MUT4201,and_scored,D
Donald Jacobs,takes_module,MUT1102,and_scored,A
Donald Jacobs,takes_module,MUA1167,and_scored,F
Donald Jacobs,takes_module,MUA1168,and_scored,F
Donald Jacobs,takes_module,MUA2157,and_scored,B
Donald Jacobs,takes_module,MUA3117,and_scored,B-
Donald Jacobs,takes_module,MUA3181,and_scored,A+
Donald Jacobs,takes_module,MUA2255,and_scored,B-
Donald Jacobs,takes_module,MUH2201,and_scored,A-
Donald Jacobs,takes_module,MUA1115,and_scored,B+
Donald Jacobs,takes_module,MUA3188,and_scored,B
Donald Jacobs,takes_module,GES1020,and_scored,F
Donald Jacobs,takes_module,MUA2109,and_scored,D
Donald Jacobs,takes_module,MUA3189,and_scored,D
Donald Jacobs,takes_module,MUA2230,and_scored,A+
Donald Jacobs,takes_module,MUA3115,and_scored,C
Donald Jacobs,takes_module,MUL2107,and_scored,C+
Donald Jacobs,takes_module,MUA4113,and_scored,C+
Donald Jacobs,takes_module,GET1047,and_scored,F
Donald Jacobs,takes_module,MUA3196,and_scored,D
Donald Jacobs,takes_module,MUA2267,and_scored,D
Matthew Acevedo,takes_module,HS1403S,and_scored,B+
Matthew Acevedo,takes_module,GEH1050,and_scored,A
Matthew Acevedo,takes_module,GESS1016,and_scored,A+
Matthew Acevedo,takes_module,PHS1101,and_scored,B+
Matthew Acevedo,takes_module,ENV1101,and_scored,A
Matthew Acevedo,takes_module,GET1020,and_scored,F
Matthew Acevedo,takes_module,HS1502,and_scored,A+
Matthew Acevedo,takes_module,GES1021,and_scored,D
Kent Mason,takes_module,NUR2204C,and_scored,C+
Kent Mason,takes_module,GEC1011,and_scored,A+
Kent Mason,takes_module,NUR3120,and_scored,A+
Kent Mason,takes_module,NUR1202C,and_scored,D
Kent Mason,takes_module,NUR3502,and_scored,A+
Kent Mason,takes_module,MD1903,and_scored,B-
Kent Mason,takes_module,HS2924,and_scored,B-
Kent Mason,takes_module,NUR3507,and_scored,D
Kent Mason,takes_module,NUR1108C,and_scored,D
Kent Mason,takes_module,NUR4102B,and_scored,C+
Kent Mason,takes_module,NUR2500,and_scored,B
Kent Mason,takes_module,NUR3501,and_scored,B+
Kent Mason,takes_module,NUR2113,and_scored,B-
Kent Mason,takes_module,NUR1114A,and_scored,A
Kent Mason,takes_module,NUR3205D,and_scored,B+
Kent Mason,takes_module,NUR2106B,and_scored,F
Kent Mason,takes_module,NUR3105C,and_scored,B-
Kent Mason,takes_module,NUR3504,and_scored,B-
Kent Mason,takes_module,NUR3114,and_scored,A
Kent Mason,takes_module,NUR2502,and_scored,F
Kent Mason,takes_module,NUR2203C,and_scored,C
Kent Mason,takes_module,NUR3105B,and_scored,A-
Kent Mason,takes_module,NUR3106B,and_scored,D
Kent Mason,takes_module,NUR3119,and_scored,C
Kent Mason,takes_module,GET1022,and_scored,A+
Kent Mason,takes_module,NUR1113A,and_scored,F
Kent Mason,takes_module,NUR2441A,and_scored,F
Kent Mason,takes_module,NUR3500,and_scored,A-
Kent Mason,takes_module,NUR4103B,and_scored,B+
Kent Mason,takes_module,NUR1107B,and_scored,F
Kent Mason,takes_module,NUR1125,and_scored,A+
Kent Mason,takes_module,NUR3202C,and_scored,F
Michael Rowland,takes_module,CDE2301,and_scored,C
Michael Rowland,takes_module,ESP2106,and_scored,C+
Michael Rowland,takes_module,CDE2000,and_scored,C
Michael Rowland,takes_module,ID1223,and_scored,B-
Michael Rowland,takes_module,ID2112,and_scored,A-
Michael Rowland,takes_module,LAD1004,and_scored,B-
Michael Rowland,takes_module,PF2109,and_scored,B+
Michael Rowland,takes_module,IPM2103,and_scored,C
Michael Rowland,takes_module,ID2042,and_scored,C+
Michael Rowland,takes_module,BN2403,and_scored,D
Michael Rowland,takes_module,BN2301,and_scored,D
Michael Rowland,takes_module,MLE2001A,and_scored,A+
Michael Rowland,takes_module,PF2102,and_scored,A+
Michael Rowland,takes_module,ME2102,and_scored,B
Michael Rowland,takes_module,IE2141,and_scored,B+
Michael Rowland,takes_module,CN2103,and_scored,D
Gina Hughes,takes_module,NUR2503,and_scored,A+
Gina Hughes,takes_module,NUR2441A,and_scored,D
Gina Hughes,takes_module,NUR2502,and_scored,B-
Gina Hughes,takes_module,MIH1101,and_scored,A+
Gina Hughes,takes_module,NUR3202C,and_scored,D
Gina Hughes,takes_module,NUR3507,and_scored,C+
Gina Hughes,takes_module,NUR2113,and_scored,F
Gina Hughes,takes_module,NUR3120,and_scored,A-
Gina Hughes,takes_module,NUR2500,and_scored,C+
Gina Hughes,takes_module,NUR2107B,and_scored,A
Gina Hughes,takes_module,MIH2201,and_scored,D
Gina Hughes,takes_module,GEH1043,and_scored,A+
Gina Hughes,takes_module,NUR3503,and_scored,A-
Gina Hughes,takes_module,MD1902,and_scored,D
Gina Hughes,takes_module,MIH3201,and_scored,B-
Gina Hughes,takes_module,NUR3114,and_scored,A
Gina Hughes,takes_module,NUR3116C,and_scored,B+
Gina Hughes,takes_module,NUR3501,and_scored,B
Gina Hughes,takes_module,NUR3505,and_scored,C+
Gina Hughes,takes_module,HS2924,and_scored,A+
Gina Hughes,takes_module,NUR3205D,and_scored,B+
Gina Hughes,takes_module,NUR2106B,and_scored,B+
Gina Hughes,takes_module,MIC2000A,and_scored,D
Gina Hughes,takes_module,NUR1202C,and_scored,B
Kelsey Rhodes,takes_module,LAD1004,and_scored,D
Kelsey Rhodes,takes_module,IPM1103,and_scored,A-
Kelsey Rhodes,takes_module,EE1111B,and_scored,C+
Kelsey Rhodes,takes_module,ESP1111,and_scored,A
Kelsey Rhodes,takes_module,LAD1001,and_scored,B
Kelsey Rhodes,takes_module,GEC1040,and_scored,B
Kelsey Rhodes,takes_module,AR1329,and_scored,F
Kelsey Rhodes,takes_module,GES1013,and_scored,A+
John Mcguire,takes_module,FST3288R,and_scored,F
John Mcguire,takes_module,ST3312,and_scored,B
John Mcguire,takes_module,SP2201,and_scored,B
John Mcguire,takes_module,PC2411,and_scored,A+
